Type,Sample_Wt(g),Sample_ID,Absorbance,,,,,,,,
B,,1_1,0.002,,,,,,,,
B,,1_2,0.001,,"Obs.: For nitrate analysis, we missed NaOH 2M solution for points 3 and 4 of the curve.",,,,,,
B,,2_1,0.001,,,,,,,,
B,,2_2,0.006,,,,,,,,
C,,0,0.005,,,,,,,,
C,,0,0.006,,,,,,,,
C,,0,0.006,,,,,,,,
C,,1500,0.169,,,,,,,,
C,,1500,0.174,,,,,,,,
C,,1500,0.204,,,,,,,,
C,,3000,0.001,,,,,,,,
C,,3000,-0.002,,,,,,,,
C,,3000,-0.004,,,,,,,,
C,,4500,-0.004,,,,,,,,
C,,4500,-0.004,,,,,,,,
C,,4500,-0.005,,,,,,,,
O,,MN-0981,0.451,,,,,,,,
D,,MN-0981,0.444,,,,,,,,
O,,MN-0982,0.622,,,,,,,,
D,,MN-0982,0.627,,,,,,,,
O,,MN-0983,0.307,,,,,,,,
D,,MN-0983,0.301,,,,,,,,
O,,MN-0984,0.424,,,,,,,,
D,,MN-0984,0.424,,,,,,,,
O,,MN-0985,0.439,,,,,,,,
D,,MN-0985,0.437,,,,,,,,
O,,MN-0986,0.284,,,,,,,,
D,,MN-0986,0.276,,,,,,,,
O,,MN-0987,0.357,,,,,,,,
D,,MN-0987,0.362,,,,,,,,
O,,MN-0988,0.328,,,,,,,,
D,,MN-0988,0.334,,,,,,,,
O,,MN-0989,0.405,,,,,,,,
D,,MN-0989,0.403,,,,,,,,
O,,MN-0990,0.405,,,,,,,,
D,,MN-0990,0.411,,,,,,,,
O,,MN-0991,0.334,,,,,,,,
D,,MN-0991,0.346,,,,,,,,
O,,MN-0992,0.356,,,,,,,,
D,,MN-0992,0.355,,,,,,,,
O,,MN-0993,0.335,,,,,,,,
D,,MN-0993,0.342,,,,,,,,
O,,MN-0994,0.466,,,,,,,,
D,,MN-0994,0.465,,,,,,,,
O,,MN-0995,0.234,,,,,,,,
D,,MN-0995,0.234,,,,,,,,
O,,MN-0996,0.174,,,,,,,,
D,,MN-0996,0.179,,,,,,,,
O,,MN-0997,0.425,,,,,,,,
D,,MN-0997,0.434,,,,,,,,
O,,MN-0998,0.234,,,,,,,,
D,,MN-0998,0.234,,,,,,,,
O,,MN-0999,0.288,,,,,,,,
D,,MN-0999,0.287,,,,,,,,
O,,MN-1000,0.23,,,,,,,,
D,,MN-1000,0.231,,,,,,,,
O,,MN-1001,0.16,,,,,,,,
D,,MN-1001,0.159,,,,,,,,
O,,MN-1002,0.039,,,,,,,,
D,,MN-1002,0.039,,,,,,,,
O,,MN-1003,0.029,,,,,,,,
D,,MN-1003,0.03,,,,,,,,
O,,MN-1004,0.025,,,,,,,,
D,,MN-1004,0.024,,,,,,,,
O,,MN-1005,0.274,,,,,,,,
D,,MN-1005,0.277,,,,,,,,
O,,MN-1006,0.063,,,,,,,,
D,,MN-1006,0.064,,,,,,,,
O,,MN-1007,0.095,,,,,,,,
D,,MN-1007,0.099,,,,,,,,
O,,MN-1008,0.03,,,,,,,,
D,,MN-1008,0.03,,,,,,,,
