Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,A-91,
D,,A-91,
O,,A-98,
D,,A-98,
O,,A-108,
D,,A-108,
O,,A-58,
D,,A-58,
O,,A-75,
D,,A-75,
O,,A-77,
D,,A-77,
O,,A-83,
D,,A-83,
O,,A-91,
D,,A-91,
O,,A-98,
D,,A-98,
O,,A-108,
D,,A-108,
O,,A-19,
D,,A-19,
O,,A-62,
D,,A-62,
O,,A-63,
D,,A-63,
O,,A-64,
D,,A-64,
O,,A-65,
D,,A-65,
O,,A-66,
D,,A-66,
O,,A-67,
D,,A-67,
O,,A-68,
D,,A-68,
O,,A-69,
D,,A-69,
O,,A-70,
D,,A-70,
O,,A-71,
D,,A-71,
O,,A-72,
D,,A-72,
O,,A-73,
D,,A-73,
O,,A-74,
D,,A-74,
O,,A-75,
D,,A-75,
O,,A-76,
D,,A-76,
O,,A-77,
D,,A-77,
O,,A-78,
D,,A-78,
O,,A-79,
D,,A-79,
O,,A-80,
D,,A-80,
O,,A-81,
D,,A-81,
O,,A-82,
D,,A-82,
O,,A-83,
D,,A-83,
O,,A-84,
D,,A-84,
