Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,549.5825955,
C,,549.5825955,
C,,549.5825955,
C,,1099.165191,
C,,1099.165191,
C,,1099.165191,
C,,4396.660764,
C,,4396.660764,
C,,4396.660764,
O,,A-85,
D,,A-85,
O,,A-96,
D,,A-96,
O,,A-102,
D,,A-102,
O,,A-16,
D,,A-16,
O,,A-29,
D,,A-29,
O,,A-30,
D,,A-30,
O,,A-31,
D,,A-31,
O,,A-32,
D,,A-32,
O,,A-33,
D,,A-33,
O,,A-34,
D,,A-34,
O,,A-35,
D,,A-35,
O,,A-36,
D,,A-36,
O,,A-37,
D,,A-37,
O,,A-38,
D,,A-38,
O,,A-39,
D,,A-39,
O,,A-40,
D,,A-40,
O,,A-41,
D,,A-41,
O,,A-42,
D,,A-42,
O,,A-43,
D,,A-43,
O,,A-44,
D,,A-44,
O,,A-45,
D,,A-45,
O,,A-46,
D,,A-46,
O,,A-47,
D,,A-47,
O,,A-48,
D,,A-48,
O,,A-49,
D,,A-49,
O,,A-50,
D,,A-50,
O,,A-51,
D,,A-51,
O,,A-52,
D,,A-52,
O,,A-53,
D,,A-53,
O,,A-54,
D,,A-54,
O,,A-55,
D,,A-55,
O,,A-56,
D,,A-56,
O,,A-36,
D,,A-36,
O,,A-56,
D,,A-56,
O,,A-57,
D,,A-57,
O,,A-58,
D,,A-58,
O,,A-59,
D,,A-59,
O,,A-60,
D,,A-60,
O,,A-61,
D,,A-61,
O,,A-62,
D,,A-62,
O,,A-63,
D,,A-63,
O,,A-64,
D,,A-64,
O,,A-65,
D,,A-65,
O,,A-66,
D,,A-66,
O,,A-67,
D,,A-67,
O,,A-68,
D,,A-68,
O,,A-69,
D,,A-69,
O,,A-70,
D,,A-70,
O,,A-71,
D,,A-71,
O,,A-72,
D,,A-72,
O,,A-73,
D,,A-73,
O,,A-74,
D,,A-74,
O,,A-75,
D,,A-75,
O,,A-76,
D,,A-76,
O,,A-77,
D,,A-77,
O,,A-78,
D,,A-78,
O,,A-79,
D,,A-79,
O,,A-80,
D,,A-80,
O,,A-81,
D,,A-81,
O,,A-82,
D,,A-82,
O,,A-83,
D,,A-83,
O,,A-84,
D,,A-84,
