Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.006
B,,1_2,0.006
B,,2_1,0.008
B,,2_2,0.007
C,,0,0.004
C,,0,0.004
C,,0,0.003
C,,549.5825955,0.374
C,,549.5825955,0.378
C,,549.5825955,0.373
C,,1099.165191,0.74
C,,1099.165191,0.748
C,,1099.165191,0.745
C,,4396.660764,2.85
C,,4396.660764,2.871
C,,4396.660764,2.845
O,,A-36,1.04
D,,A-36,1.013
O,,A-56,0.278
D,,A-56,0.281
O,,A-58,0.536
D,,A-58,0.537
O,,A-75,0.107
D,,A-75,0.104
O,,A-85,0.128
D,,A-85,0.127
O,,A-96,0.14
D,,A-96,0.144
O,,A-102,0.153
D,,A-102,0.152
