Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.001
B,,1_2,0.003
B,,2_1,0.002
B,,2_2,0.002
C,,0,0.002
C,,0,0.002
C,,0,0.001
C,,1500,0.171
C,,1500,0.172
C,,1500,0.171
C,,3000,0.334
C,,3000,0.337
C,,3000,0.332
C,,4500,0.48
C,,4500,0.486
C,,4500,0.5
O,,A-29,0.07
D,,A-29,0.068
O,,A-30,0.076
D,,A-30,0.074
O,,A-31,0.117
D,,A-31,0.113
O,,A-32,0.106
D,,A-32,0.107
O,,A-33,0.094
D,,A-33,0.094
O,,A-34,0.079
D,,A-34,0.079
O,,A-35,0.072
D,,A-35,0.075
O,,A-36,0.096
D,,A-36,0.096
O,,A-37,0.105
D,,A-37,0.099
O,,A-38,0.08
D,,A-38,0.084
O,,A-39,0.08
D,,A-39,0.077
O,,A-40,0.083
D,,A-40,0.085
O,,A-41,0.093
D,,A-41,0.097
O,,A-42,0.094
D,,A-42,0.091
O,,A-43,0.081
D,,A-43,0.083
O,,A-44,0.088
D,,A-44,0.085
O,,A-45,0.088
D,,A-45,0.088
O,,A-46,0.085
D,,A-46,0.084
O,,A-47,0.073
D,,A-47,0.075
O,,A-48,0.065
D,,A-48,0.064
O,,A-49,0.058
D,,A-49,0.058
O,,A-50,0.071
D,,A-50,0.069
O,,A-51,0.071
D,,A-51,0.071
O,,A-52,0.066
D,,A-52,0.068
O,,A-53,0.067
D,,A-53,0.064
O,,A-54,0.085
D,,A-54,0.092
O,,A-55,0.056
D,,A-55,0.055
O,,A-56,0.065
D,,A-56,0.063
