Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.005
B,,1_2,0.005
B,,2_1,0.005
B,,2_2,0.007
C,,0,0.004
C,,0,0.003
C,,0,0.004
C,,1500,0.378
C,,1500,0.375
C,,1500,0.382
C,,3000,0.748
C,,3000,0.752
C,,3000,0.751
C,,4500,2.847
C,,4500,2.823
C,,4500,-0.002
O,,A-57,0.269
D,,A-57,0.266
O,,A-58,0.521
D,,A-58,0.461
O,,A-59,0.281
D,,A-59,0.298
O,,A-60,0.183
D,,A-60,0.183
O,,A-61,0.345
D,,A-61,0.371
O,,A-62,0.109
D,,A-62,0.109
O,,A-63,0.129
D,,A-63,0.125
O,,A-64,0.144
D,,A-64,0.147
O,,A-65,0.178
D,,A-65,0.185
O,,A-66,0.641
D,,A-66,0.659
O,,A-67,0.094
D,,A-67,0.093
O,,A-68,0.322
D,,A-68,0.318
O,,A-69,0.15
D,,A-69,0.149
O,,A-70,0.103
D,,A-70,0.102
O,,A-71,0.146
D,,A-71,0.148
O,,A-72,0.246
D,,A-72,0.249
O,,A-73,0.121
D,,A-73,0.12
O,,A-74,0.109
D,,A-74,0.117
O,,A-75,0.086
D,,A-75,-0.003
O,,A-76,0.118
D,,A-76,0.116
O,,A-77,0.102
D,,A-77,0.099
O,,A-78,0.098
D,,A-78,0.1
O,,A-79,0.136
D,,A-79,0.136
O,,A-80,0.082
D,,A-80,0.088
O,,A-81,0.118
D,,A-81,0.114
O,,A-82,0.107
D,,A-82,0.111
O,,A-83,0.141
D,,A-83,0.14
O,,A-84,0.081
D,,A-84,0.081
