Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,RV_CTS_261,
D,,RV_CTS_261,
O,,RV_CTS_262,
D,,RV_CTS_262,
O,,RV_CTS_263,
D,,RV_CTS_263,
O,,RV_CTS_264,
D,,RV_CTS_264,
O,,RV_CTS_265,
D,,RV_CTS_265,
O,,RV_CTS_266,
D,,RV_CTS_266,
O,,RV_CTS_267,
D,,RV_CTS_267,
O,,RV_CTS_268,
D,,RV_CTS_268,
O,,RV_CTS_269,
D,,RV_CTS_269,
O,,RV_CTS_270,
D,,RV_CTS_270,
O,,RV_CTS_271,
D,,RV_CTS_271,
O,,RV_CTS_272,
D,,RV_CTS_272,
O,,RV_CTS_273,
D,,RV_CTS_273,
O,,RV_CTS_274,
D,,RV_CTS_274,
O,,RV_CTS_275,
D,,RV_CTS_275,
O,,RV_CTS_276,
D,,RV_CTS_276,
O,,RV_CTS_277,
D,,RV_CTS_277,
O,,RV_CTS_278,
D,,RV_CTS_278,
O,,RV_CTS_279,
D,,RV_CTS_279,
O,,RV_CTS_280,
D,,RV_CTS_280,
