Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,549.5825955,
C,,549.5825955,
C,,549.5825955,
C,,1099.165191,
C,,1099.165191,
C,,1099.165191,
C,,4396.660764,
C,,4396.660764,
C,,4396.660764,
O,,RV_CTS_281,
D,,RV_CTS_281,
O,,RV_CTS_282,
D,,RV_CTS_282,
O,,RV_CTS_283,
D,,RV_CTS_283,
O,,RV_CTS_284,
D,,RV_CTS_284,
O,,RV_CTS_285,
D,,RV_CTS_285,
O,,RV_CTS_286,
D,,RV_CTS_286,
O,,RV_CTS_287,
D,,RV_CTS_287,
O,,RV_CTS_288,
D,,RV_CTS_288,
O,,RV_CTS_289,
D,,RV_CTS_289,
O,,RV_CTS_290,
D,,RV_CTS_290,
O,,RV_CTS_291,
D,,RV_CTS_291,
O,,RV_CTS_292,
D,,RV_CTS_292,
O,,RV_CTS_293,
D,,RV_CTS_293,
O,,RV_CTS_294,
D,,RV_CTS_294,
O,,RV_CTS_295,
D,,RV_CTS_295,
O,,RV_CTS_296,
D,,RV_CTS_296,
O,,RV_CTS_297,
D,,RV_CTS_297,
O,,RV_CTS_298,
D,,RV_CTS_298,
O,,RV_CTS_299,
D,,RV_CTS_299,
O,,RV_CTS_300,
D,,RV_CTS_300,
