Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,MR_USB_101,
D,,MR_USB_101,
O,,MR_USB_102,
D,,MR_USB_102,
O,,MR_USB_103,
D,,MR_USB_103,
O,,MR_USB_104,
D,,MR_USB_104,
O,,MR_USB_105,
D,,MR_USB_105,
O,,MR_USB_106,
D,,MR_USB_106,
O,,MR_USB_107,
D,,MR_USB_107,
O,,MR_USB_108,
D,,MR_USB_108,
O,,MR_USB_109,
D,,MR_USB_109,
O,,MR_USB_110,
D,,MR_USB_110,
O,,MR_USB_111,
D,,MR_USB_111,
O,,MR_USB_112,
D,,MR_USB_112,
O,,MR_USB_113,
D,,MR_USB_113,
O,,MR_USB_114,
D,,MR_USB_114,
O,,MR_USB_115,
D,,MR_USB_115,
O,,MR_USB_116,
D,,MR_USB_116,
O,,MR_USB_117,
D,,MR_USB_117,
O,,MR_USB_118,
D,,MR_USB_118,
O,,MR_USB_119,
D,,MR_USB_119,
O,,MR_USB_120,
D,,MR_USB_120,
