Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,549.5825955,
C,,549.5825955,
C,,549.5825955,
C,,1099.165191,
C,,1099.165191,
C,,1099.165191,
C,,4396.660764,
C,,4396.660764,
C,,4396.660764,
O,,MR_USB_161,
D,,MR_USB_161,
O,,MR_USB_162,
D,,MR_USB_162,
O,,MR_USB_163,
D,,MR_USB_163,
O,,MR_USB_164,
D,,MR_USB_164,
O,,MR_USB_165,
D,,MR_USB_165,
O,,MR_USB_166,
D,,MR_USB_166,
O,,MR_USB_167,
D,,MR_USB_167,
O,,MR_USB_168,
D,,MR_USB_168,
O,,MR_USB_169,
D,,MR_USB_169,
O,,MR_USB_170,
D,,MR_USB_170,
O,,MR_USB_171,
D,,MR_USB_171,
O,,MR_USB_172,
D,,MR_USB_172,
O,,MR_USB_173,
D,,MR_USB_173,
O,,MR_USB_174,
D,,MR_USB_174,
O,,MR_USB_175,
D,,MR_USB_175,
O,,MR_USB_176,
D,,MR_USB_176,
O,,MR_USB_177,
D,,MR_USB_177,
O,,MR_USB_178,
D,,MR_USB_178,
O,,MR_USB_179,
D,,MR_USB_179,
O,,MR_USB_180,
D,,MR_USB_180,
