Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,I-0689,
D,,I-0689,
O,,I-0690,
D,,I-0690,
O,,I-0691,
D,,I-0691,
O,,I-0692,
D,,I-0692,
O,,I-0693,
D,,I-0693,
O,,I-0694,
D,,I-0694,
O,,I-0695,
D,,I-0695,
O,,I-0696,
D,,I-0696,
O,,I-0697,
D,,I-0697,
O,,I-0698,
D,,I-0698,
O,,I-0699,
D,,I-0699,
O,,I-0700,
D,,I-0700,
O,,I-0701,
D,,I-0701,
O,,I-0702,
D,,I-0702,
O,,I-0703,
D,,I-0703,
O,,I-0704,
D,,I-0704,
O,,I-0705,
D,,I-0705,
O,,I-0706,
D,,I-0706,
O,,I-0707,
D,,I-0707,
O,,I-0708,
D,,I-0708,
O,,I-0709,
D,,I-0709,
O,,I-0710,
D,,I-0710,
O,,I-0711,
D,,I-0711,
O,,I-0712,
D,,I-0712,
O,,I-0713,
D,,I-0713,
O,,I-0714,
D,,I-0714,
O,,I-0715,
D,,I-0715,
O,,I-0716,
D,,I-0716,
O,,I-0717,
D,,I-0717,
O,,I-0718,
D,,I-0718,
O,,I-0719,
D,,I-0719,
O,,I-0720,
D,,I-0720,
O,,I-0721,
D,,I-0721,
O,,I-0722,
D,,I-0722,
O,,I-0723,
D,,I-0723,
O,,I-0724,
D,,I-0724,
O,,I-0725,
D,,I-0725,
O,,I-0726,
D,,I-0726,
O,,I-0727,
D,,I-0727,
O,,I-0728,
D,,I-0728,
O,,I-0729,
D,,I-0729,
O,,I-0730,
D,,I-0730,
O,,I-0731,
D,,I-0731,
O,,I-0732,
D,,I-0732,
O,,I-0733,
D,,I-0733,
O,,I-0734,
D,,I-0734,
O,,I-0735,
D,,I-0735,
O,,I-0736,
D,,I-0736,
