Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.01
B,,1_2,0.007
B,,2_1,0.011
B,,2_2,0.011
C,,0,0.007
C,,0,0.009
C,,0,0.008
C,,549.5825955,0.348
C,,549.5825955,0.35
C,,549.5825955,0.346
C,,1099.165191,0.686
C,,1099.165191,0.688
C,,1099.165191,0.694
C,,4396.660764,2.623
C,,4396.660764,2.726
C,,4396.660764,2.645
O,,IN-1245,2.95
D,,IN-1245,2.947
O,,IN-1246,3
D,,IN-1246,2.981
O,,IN-1247,3
D,,IN-1247,2.986
O,,IN-1248,3
D,,IN-1248,3
O,,IN-1249,3
D,,IN-1249,2.986
O,,IN-1250,2.77
D,,IN-1250,2.828
O,,IN-1251,2.933
D,,IN-1251,2.908
O,,IN-1252,2.208
D,,IN-1252,2.175
O,,IN-1253,2.027
D,,IN-1253,2.096
O,,IN-1254,2.168
D,,IN-1254,2.15
O,,IN-1255,3
D,,IN-1255,3
O,,IN-1256,2.466
D,,IN-1256,2.548
O,,IN-1257,3
D,,IN-1257,2.97
O,,IN-1258,2.247
D,,IN-1258,2.261
O,,IN-1259,0.228
D,,IN-1259,0.208
O,,IN-1260,0.449
D,,IN-1260,0.445
O,,IN-1261,0.137
D,,IN-1261,0.132
O,,IN-1262,0.145
D,,IN-1262,0.145
O,,IN-1263,0.356
D,,IN-1263,0.36
O,,IN-1264,0.222
D,,IN-1264,0.221
O,,IN-1265,0.246
D,,IN-1265,0.238
O,,IN-1266,0.115
D,,IN-1266,0.108
O,,IN-1267,0.194
D,,IN-1267,0.192
O,,IN-1268,0.32
D,,IN-1268,0.321
O,,IN-1269,0.149
D,,IN-1269,0.15
O,,IN-1270,0.201
D,,IN-1270,0.208
O,,IN-1271,0.166
D,,IN-1271,0.156
O,,IN-1272,0.196
D,,IN-1272,0.176
