Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0
B,,1_2,0
B,,2_1,0
B,,2_2,0
C,,0,0
C,,0,0
C,,0,0
C,,1500,1500
C,,1500,1500
C,,1500,1500
C,,3000,3000
C,,3000,3000
C,,3000,3000
C,,4500,4500
C,,4500,4500
C,,4500,4500
O,,MR_USB_001,2
D,,MR_USB_001,10
O,,MR_USB_002,3
D,,MR_USB_002,3
O,,MR_USB_003,4
D,,MR_USB_003,4
O,,MR_USB_004,5
D,,MR_USB_004,5
O,,MR_USB_005,6
D,,MR_USB_005,6
O,,MR_USB_006,7
D,,MR_USB_006,7
O,,MR_USB_007,8
D,,MR_USB_007,8
O,,MR_USB_008,9
D,,MR_USB_008,9
O,,MR_USB_009,10
D,,MR_USB_009,10
O,,MR_USB_010,11
D,,MR_USB_010,11
O,,MR_USB_011,12
D,,MR_USB_011,12
O,,MR_USB_012,13
D,,MR_USB_012,13
O,,MR_USB_013,14
D,,MR_USB_013,14
O,,MR_USB_014,15
D,,MR_USB_014,15
O,,MR_USB_015,16
D,,MR_USB_015,16
O,,MR_USB_016,17
D,,MR_USB_016,17
O,,MR_USB_017,17
D,,MR_USB_017,17
O,,MR_USB_018,17
D,,MR_USB_018,17
O,,MR_USB_019,17
D,,MR_USB_019,17
O,,MR_USB_020,17
D,,MR_USB_020,17
O,,MR_USB_021,17
D,,MR_USB_021,17
O,,MR_USB_022,17
D,,MR_USB_022,17
O,,MR_USB_023,17
D,,MR_USB_023,17
O,,MR_USB_024,17
D,,MR_USB_024,17
O,,MR_USB_025,17
D,,MR_USB_025,17
O,,MR_USB_026,17
D,,MR_USB_026,17
O,,MR_USB_027,17
D,,MR_USB_027,17
O,,MR_USB_028,17
D,,MR_USB_028,17
O,,MR_USB_029,17
D,,MR_USB_029,17
O,,MR_USB_030,17
D,,MR_USB_030,17
O,,MR_USB_031,17
D,,MR_USB_031,17
O,,MR_USB_032,17
D,,MR_USB_032,17
O,,MR_USB_033,17
D,,MR_USB_033,17
O,,MR_USB_034,17
D,,MR_USB_034,17
O,,MR_USB_035,17
D,,MR_USB_035,17
O,,MR_USB_036,17
D,,MR_USB_036,17
O,,MR_USB_037,17
D,,MR_USB_037,17
O,,MR_USB_038,17
D,,MR_USB_038,17
O,,MR_USB_039,17
D,,MR_USB_039,17
O,,MR_USB_040,17
D,,MR_USB_040,17
O,,MR_USB_041,17
D,,MR_USB_041,17
O,,MR_USB_042,17
D,,MR_USB_042,17
O,,MR_USB_043,17
D,,MR_USB_043,17
O,,MR_USB_044,17
D,,MR_USB_044,17
O,,MR_USB_045,17
D,,MR_USB_045,17
O,,MR_USB_046,17
D,,MR_USB_046,17
O,,MR_USB_047,17
D,,MR_USB_047,17
O,,MR_USB_048,17
D,,MR_USB_048,17
O,,MR_USB_049,17
D,,MR_USB_049,17
O,,MR_USB_050,17
