Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0
B,,1_2,0
B,,2_1,0
B,,2_2,0
C,,0,0
C,,0,0
C,,0,0
C,,549.5825955,549.5825955
C,,549.5825955,549.5825955
C,,549.5825955,549.5825955
C,,1099.165191,1099.165191
C,,1099.165191,1099.165191
C,,1099.165191,1099.165191
C,,4396.660764,4396.660764
C,,4396.660764,4396.660764
C,,4396.660764,4396.660764
O,,MR_USB_001,2
D,,MR_USB_001,253
O,,MR_USB_002,36
D,,MR_USB_002,2
O,,MR_USB_003,
D,,MR_USB_003,
O,,MR_USB_004,
D,,MR_USB_004,
O,,MR_USB_005,26
D,,MR_USB_005,2
O,,MR_USB_006,
D,,MR_USB_006,
O,,MR_USB_007,56
D,,MR_USB_007,56
O,,MR_USB_008,
D,,MR_USB_008,
O,,MR_USB_009,32
D,,MR_USB_009,3
O,,MR_USB_010,
D,,MR_USB_010,
O,,MR_USB_011,
D,,MR_USB_011,
O,,MR_USB_012,
D,,MR_USB_012,
O,,MR_USB_013,
D,,MR_USB_013,
O,,MR_USB_014,
D,,MR_USB_014,
O,,MR_USB_015,
D,,MR_USB_015,
O,,MR_USB_016,
D,,MR_USB_016,
O,,MR_USB_017,
D,,MR_USB_017,
O,,MR_USB_018,
D,,MR_USB_018,
O,,MR_USB_019,
D,,MR_USB_019,
O,,MR_USB_020,
D,,MR_USB_020,
O,,MR_USB_021,
D,,MR_USB_021,
O,,MR_USB_022,
D,,MR_USB_022,
O,,MR_USB_023,
D,,MR_USB_023,
O,,MR_USB_024,
D,,MR_USB_024,
O,,MR_USB_025,
D,,MR_USB_025,
O,,MR_USB_026,
D,,MR_USB_026,
O,,MR_USB_027,
D,,MR_USB_027,
O,,MR_USB_028,
D,,MR_USB_028,
O,,MR_USB_029,
D,,MR_USB_029,
O,,MR_USB_030,
D,,MR_USB_030,
O,,MR_USB_031,
D,,MR_USB_031,
O,,MR_USB_032,
D,,MR_USB_032,
O,,MR_USB_033,
D,,MR_USB_033,
O,,MR_USB_034,
D,,MR_USB_034,
O,,MR_USB_035,
D,,MR_USB_035,
O,,MR_USB_036,
D,,MR_USB_036,
O,,MR_USB_037,
D,,MR_USB_037,
O,,MR_USB_038,
D,,MR_USB_038,
O,,MR_USB_039,
D,,MR_USB_039,
O,,MR_USB_040,
D,,MR_USB_040,
O,,MR_USB_041,
D,,MR_USB_041,
O,,MR_USB_042,
D,,MR_USB_042,
O,,MR_USB_043,
D,,MR_USB_043,
O,,MR_USB_044,
D,,MR_USB_044,
O,,MR_USB_045,
D,,MR_USB_045,
O,,MR_USB_046,
D,,MR_USB_046,
O,,MR_USB_047,
D,,MR_USB_047,
O,,MR_USB_048,
D,,MR_USB_048,
O,,MR_USB_049,
D,,MR_USB_049,
O,,MR_USB_050,
D,,MR_USB_050,
O,,MR_USB_051,
D,,MR_USB_051,
