Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.004
B,,1_2,0.003
B,,2_1,0.001
B,,2_2,0.003
C,,0,0.006
C,,0,0.006
C,,0,0.006
C,,1500,0.166
C,,1500,0.171
C,,1500,0.166
C,,3000,0.302
C,,3000,0.3
C,,3000,0.299
C,,4500,0.437
C,,4500,0.448
C,,4500,0.545
O,0.3,LIF-241,1.181
D,,LIF-241,1.193
O,0.3,LIF-242,1.101
D,,LIF-242,1.143
O,0.3,LIF-243,1.414
D,,LIF-243,1.367
O,0.3,LIF-244,1.185
D,,LIF-244,1.229
O,0.3,LIF-245,1.074
D,,LIF-245,1.077
O,0.3,LIF-246,1.466
D,,LIF-246,1.604
O,0.3,LIF-247,1.438
D,,LIF-247,1.401
O,0.3,LIF-248,1.564
D,,LIF-248,1.575
O,0.3,LIF-249,1.282
D,,LIF-249,1.302
O,0.3,LIF-250,1.038
D,,LIF-250,1.125
O,0.3,LIF-251,1.226
D,,LIF-251,1.128
O,0.3,LIF-252,1.256
D,,LIF-252,1.184
O,0.3,LIF-253,1.335
D,,LIF-253,1.462
O,0.3,LIF-254,1.114
D,,LIF-254,1.125
O,0.3,LIF-255,1.092
D,,LIF-255,1.059
O,0.3,LIF-256,1.124
D,,LIF-256,1.102
O,0.3,LIF-257,1.208
D,,LIF-257,1.279
O,0.3,LIF-258,0.674
D,,LIF-258,0.681
O,0.3,LIF-259,0.663
D,,LIF-259,0.672
O,0.3,LIF-260,0.824
D,,LIF-260,0.794
O,0.3,LIF-261,0.648
D,,LIF-261,0.675
O,0.3,LIF-262,0.759
D,,LIF-262,0.792
O,0.3,LIF-263,0.562
D,,LIF-263,1.099
O,0.3,LIF-264,0.871
D,,LIF-264,0.847
O,0.3,LIF-265,0.944
D,,LIF-265,0.951
O,0.3,LIF-266,0.785
D,,LIF-266,0.78
O,0.3,LIF-267,0.665
D,,LIF-267,0.659
O,0.3,LIF-268,0.968
D,,LIF-268,0.969
