Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.009
B,,1_2,0.007
B,,2_1,0.006
B,,2_2,0.012
C,,0,0.01
C,,0,0.011
C,,0,0.012
C,,549.5825955,0.347
C,,549.5825955,0.336
C,,549.5825955,0.328
C,,1099.165191,0.619
C,,1099.165191,0.617
C,,1099.165191,0.606
C,,4396.660764,2.498
C,,4396.660764,2.541
C,,4396.660764,2.471
O,0.3,LIF-297,0.629
D,,LIF-297,0.624
O,0.3,LIF-298,0.559
D,,LIF-298,0.554
O,0.3,LIF-299,0.426
D,,LIF-299,0.422
O,0.3,LIF-300,0.684
D,,LIF-300,0.684
O,0.3,LIF-301,0.499
D,,LIF-301,0.444
O,0.3,LIF-302,0.727
D,,LIF-302,0.725
O,0.3,LIF-303,0.59
D,,LIF-303,0.593
O,0.3,LIF-304,0.596
D,,LIF-304,0.584
O,0.3,LIF-305,0.782
D,,LIF-305,0.807
O,0.3,LIF-306,0.43
D,,LIF-306,0.426
O,0.3,LIF-307,0.359
D,,LIF-307,0.36
O,0.3,LIF-308,0.421
D,,LIF-308,0.43
O,0.3,LIF-309,0.45
D,,LIF-309,0.456
O,0.3,LIF-310,1.289
D,,LIF-310,1.255
O,0.3,LIF-311,0.566
D,,LIF-311,0.562
O,0.3,LIF-312,0.536
D,,LIF-312,0.53
O,0.3,LIF-313,0.527
D,,LIF-313,0.525
O,0.3,LIF-314,0.617
D,,LIF-314,0.611
O,0.3,LIF-315,0.552
D,,LIF-315,0.514
O,0.3,LIF-316,0.278
D,,LIF-316,0.269
O,0.3,LIF-317,0.511
D,,LIF-317,0.543
O,0.3,LIF-318,1.314
D,,LIF-318,1.307
O,0.3,LIF-319,0.285
D,,LIF-319,0.27
O,0.3,LIF-320,0.279
D,,LIF-320,0.278
O,0.3,LIF-321,1.382
D,,LIF-321,1.425
O,0.3,LIF-322,1.116
D,,LIF-322,1.022
O,0.3,LIF-323,0.686
D,,LIF-323,0.746
O,0.3,LIF-324,1.854
D,,LIF-324,1.801
