Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.002
B,,1_2,0.003
B,,2_1,0.001
B,,2_2,0.001
C,,0,0.001
C,,0,0
C,,0,0.008
C,,1500,0.145
C,,1500,0.17
C,,1500,0.163
C,,3000,0.318
C,,3000,0.31
C,,3000,0.33
C,,4500,0.503
C,,4500,0.452
C,,4500,0.483
O,0.3,LIF-342,0.101
D,,LIF-342,0.091
O,0.3,LIF-353,0.062
D,,LIF-353,0.059
O,0.3,LIF-359,0.075
D,,LIF-359,0.07
O,0.3,LIF-360,0.072
D,,LIF-360,0.069
O,0.3,LIF-367,0.087
D,,LIF-367,0.095
O,0.3,LIF-372,0.12
D,,LIF-372,0.106
O,0.3,LIF-379,0.084
D,,LIF-379,0.099
O,0.3,LIF-381,0.061
D,,LIF-381,0.056
O,0.3,LIF-383,0.069
D,,LIF-383,0.058
O,0.3,LIF-384,0.096
D,,LIF-384,0.08
O,0.3,LIF-386,0.075
D,,LIF-386,0.062
O,0.3,LIF-389,0.047
D,,LIF-389,0.05
O,0.3,LIF-389,0.131
D,,LIF-389,0.048
O,0.3,LIF-384,0.081
D,,LIF-384,0.092
O,0.3,LIF-386,0.084
D,,LIF-386,0.064
O,0.3,LIF-389,0.131
D,,LIF-389,0.048
O,0.3,LIF-389,0.131
D,,LIF-389,0.048
O,0.3,LIF-389,0.131
D,,LIF-389,0.048
