Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0,0.001
C,,0,-0.001
C,,0,-0.002
C,,1500,0.164
C,,1500,0.16
C,,1500,0.17
C,,3000,0.305
C,,3000,0.318
C,,3000,0.327
C,,4500,0.444
C,,4500,0.446
C,,4500,0.499
O,0.3,LIF-372,0.117
D,,LIF-372,0.102
O,0.3,LIF-379,0.082
D,,LIF-379,0.08
O,0.3,LIF-383,0.058
D,,LIF-383,0.046
O,0.3,LIF-384,0.064
D,,LIF-384,0.065
O,0.3,LIF-386,0.058
D,,LIF-386,0.053
O,0.3,LIF-389,0.131
D,,LIF-389,0.048
O,0.3,LIF-384,0.081
D,,LIF-384,0.092
O,0.3,LIF-386,0.084
D,,LIF-386,0.064
O,0.3,LIF-389,0.131
D,,LIF-389,0.048
O,0.3,LIF-389,0.131
D,,LIF-389,0.048
O,0.3,LIF-389,0.131
D,,LIF-389,0.048
