Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.001
B,,1_2,0.002
B,,2_1,0.003
B,,2_2,0.002
C,,0,0.001
C,,0,0.001
C,,0,0.001
C,,1500,0.154
C,,1500,0.167
C,,1500,0.154
C,,3000,0.303
C,,3000,0.283
C,,3000,0.302
C,,4500,0.504
C,,4500,0.448
C,,4500,0.437
O,0.3,LIG-161,0.039
D,,LIG-161,0.037
O,0.3,LIG-162,0.048
D,,LIG-162,0.054
O,0.3,LIG-163,0.038
D,,LIG-163,0.047
O,0.3,LIG-164,0.037
D,,LIG-164,0.036
O,0.3,LIG-165,0.043
D,,LIG-165,0.049
O,0.3,LIG-166,0.039
D,,LIG-166,0.046
O,0.3,LIG-167,0.04
D,,LIG-167,0.037
O,0.3,LIG-168,0.038
D,,LIG-168,0.04
O,0.2,LIG-169,0.047
D,,LIG-169,0.046
O,0.3,LIG-170,0.054
D,,LIG-170,0.05
O,0.3,LIG-171,0.044
D,,LIG-171,0.038
O,0.3,LIG-172,0.038
D,,LIG-172,0.043
O,0.3,LIG-173,0.04
D,,LIG-173,0.042
O,0.3,LIG-174,0.044
D,,LIG-174,0.044
O,0.3,LIG-175,0.04
D,,LIG-175,0.039
O,0.3,LIG-176,0.047
D,,LIG-176,0.044
O,0.3,LIG-177,0.048
D,,LIG-177,0.05
O,0.3,LIG-178,0.069
D,,LIG-178,0.078
O,0.3,LIG-179,0.069
D,,LIG-179,0.062
O,0.3,LIG-180,0.071
D,,LIG-180,0.063
O,0.3,LIG-181,0.057
D,,LIG-181,0.063
O,0.3,LIG-182,0.063
D,,LIG-182,0.046
O,0.3,LIG-183,0.06
D,,LIG-183,0.054
O,0.3,LIG-184,0.054
D,,LIG-184,0.049
O,0.3,LIG-185,0.053
D,,LIG-185,0.059
O,0.3,LIG-186,0.06
D,,LIG-186,0.054
O,0.3,LIG-187,0.052
D,,LIG-187,0.06
O,0.3,LIG-188,0.039
D,,LIG-188,0.045
