Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.022
B,,1_2,0.016
B,,2_1,0.023
B,,2_2,0.016
C,,0,0.017
C,,0,0.026
C,,0,0.023
C,,549.5825955,0.295
C,,549.5825955,0.31
C,,549.5825955,0.299
C,,1099.165191,0.554
C,,1099.165191,0.594
C,,1099.165191,0.579
C,,4396.660764,2.176
C,,4396.660764,2.189
C,,4396.660764,2.203
O,0.3,LIG-161,0.114
D,,LIG-161,0.082
O,0.3,LIG-162,0.103
D,,LIG-162,0.084
O,0.3,LIG-163,0.305
D,,LIG-163,0.316
O,0.3,LIG-164,0.122
D,,LIG-164,0.105
O,0.3,LIG-165,0.816
D,,LIG-165,0.847
O,0.3,LIG-166,0.253
D,,LIG-166,0.249
O,0.3,LIG-167,0.36
D,,LIG-167,0.338
O,0.3,LIG-168,0.283
D,,LIG-168,0.274
O,0.2,LIG-169,0.264
D,,LIG-169,0.264
O,0.3,LIG-170,0.131
D,,LIG-170,0.133
O,0.3,LIG-171,0.398
D,,LIG-171,0.407
O,0.3,LIG-172,0.414
D,,LIG-172,0.43
O,0.3,LIG-173,0.395
D,,LIG-173,0.395
O,0.3,LIG-174,0.623
D,,LIG-174,0.629
O,0.3,LIG-175,0.513
D,,LIG-175,0.513
O,0.3,LIG-176,0.418
D,,LIG-176,0.405
O,0.3,LIG-177,0.11
D,,LIG-177,0.105
O,0.3,LIG-178,0.125
D,,LIG-178,0.128
O,0.3,LIG-179,0.097
D,,LIG-179,0.101
O,0.3,LIG-180,0.114
D,,LIG-180,0.117
O,0.3,LIG-181,0.063
D,,LIG-181,0.056
O,0.3,LIG-182,0.367
D,,LIG-182,0.363
O,0.3,LIG-183,0.452
D,,LIG-183,0.464
O,0.3,LIG-184,0.557
D,,LIG-184,0.541
O,0.3,LIG-185,0.253
D,,LIG-185,0.254
O,0.3,LIG-186,0.256
D,,LIG-186,0.253
O,0.3,LIG-187,0.326
D,,LIG-187,0.328
O,0.3,LIG-188,0.347
D,,LIG-188,0.343
