Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.013
B,,1_2,0.014
B,,2_1,0.015
B,,2_2,0.014
C,,0,0.014
C,,0,0.012
C,,0,0.012
C,,549.5825955,0.397
C,,549.5825955,0.377
C,,549.5825955,0.387
C,,1099.165191,0.734
C,,1099.165191,0.730
C,,1099.165191,0.748
C,,4396.660764,2.826
C,,4396.660764,2.766
C,,4396.660764,2.749
O,0.3,LIG-161,0.120
D,,LIG-161,0.096
O,0.3,LIG-162,0.098
D,,LIG-162,0.098
O,0.3,LIG-164,0.134
D,,LIG-164,0.135
O,0.3,LIG-181,0.058
D,,LIG-181,0.060
O,0.0862,LIG-203,0.037
D,,LIG-203,0.038
O,0.3,LIG-217,0.100
D,,LIG-217,0.098
