Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.003
B,,1_2,0.001
B,,2_1,0.001
B,,2_2,0.002
C,,0,0.001
C,,0,0.001
C,,0,0
C,,1500,0.152
C,,1500,0.155
C,,1500,0.16
C,,3000,0.303
C,,3000,0.299
C,,3000,0.289
C,,4500,0.429
C,,4500,0.462
C,,4500,0.445
O,0.3,LIG-163,0.036
D,,LIG-163,0.04
O,0.3,LIG-166,0.033
D,,LIG-166,0.031
O,0.3,LIG-182,0.038
D,,LIG-182,0.05
O,0.3,LIG-187,0.041
D,,LIG-187,0.045
O,0.3,LIG-188,0.035
D,,LIG-188,0.035
O,0.3,LIG-190,0.034
D,,LIG-190,0.057
O,0.3,LIG-191,0.078
D,,LIG-191,0.055
O,0.3,LIG-193,0.056
D,,LIG-193,0.055
O,0.3,LIG-196,0.075
D,,LIG-196,0.061
O,0.3,LIG-198,0.047
D,,LIG-198,0.052
O,0.3,LIG-200,0.072
D,,LIG-200,0.095
O,0.3,LIG-225,0.038
D,,LIG-225,0.037
O,0.3,LIG-229,0.049
D,,LIG-229,0.044
O,0.3,LIG-236,0.051
D,,LIG-236,0.035
O,0.3,LIG-239,0.06
D,,LIG-239,0.064
O,0.3,LIG-240,0.054
D,,LIG-240,0.05
