Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0
B,,1_2,0
B,,2_1,0
B,,2_2,0
C,,0,0.001
C,,0,0.002
C,,0,0.002
C,,1500,0.189
C,,1500,0.189
C,,1500,0.183
C,,3000,0.332
C,,3000,0.357
C,,3000,0.19
C,,4500,0.528
C,,4500,0.54
C,,4500,
O,,LIG-132,0.066
D,,LIG-132,0.066
O,,LIG-133,0.066
D,,LIG-133,0.063
O,,LIG-134,0.089
D,,LIG-134,0.092
O,,LIG-135,0.081
D,,LIG-135,0.087
O,,LIG-136,0.073
D,,LIG-136,0.072
O,,LIG-137,0.17
D,,LIG-137,0.175
O,,LIG-138,0.118
D,,LIG-138,0.113
O,,LIG-139,0.159
D,,LIG-139,0.169
O,,LIG-140,0.062
D,,LIG-140,0.059
O,,LIG-141,0.048
D,,LIG-141,0.044
O,,LIG-142,0.084
D,,LIG-142,0.088
O,,LIG-143,0.053
D,,LIG-143,0.051
O,,LIG-144,0.055
D,,LIG-144,0.058
O,,LIG-145,0.08
D,,LIG-145,0.085
O,,LIG-146,0.068
D,,LIG-146,0.074
O,,LIG-147,0.061
D,,LIG-147,0.063
O,,LIG-63,0.047
D,,LIG-63,0.046
