Type,Sample_Wt(g),Sample_ID,Absorbance,
B,,1_1,0.013,
B,,1_2,0.014,
B,,2_1,0.014,
B,,2_2,0.013,
C,,0,0.013,
C,,0,0.013,
C,,0,0.012,
C,,549.5825955,0.341,
C,,549.5825955,0.334,
C,,549.5825955,0.338,
C,,1099.165191,0.664,
C,,1099.165191,0.650,
C,,1099.165191,0.656,
C,,1648.7,0.987,
C,,1648.7,0.988,
C,,1648.7,0.983,
C,,2200,1.313,
C,,2200,1.295,
C,,2200,1.296,
C,,3300,1.964,
C,,3300,1.989,
C,,3300,1.959,
C,,4400,2.599,
C,,4400,2.595,
C,,4400,2.590,
O,,LIG-01,0.066,
D,,LIG-01,0.060,
O,,LIG-96,0.046,
D,,LIG-96,0.045,
O,,LIG-97,0.046,
D,,LIG-97,0.043,
O,,LIG-107,0.046,
D,,LIG-107,0.045,
