Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.002
B,,1_2,0
B,,2_1,0
B,,2_2,0.001
C,,0,0
C,,0,0
C,,0,0
C,,1500,0.144
C,,1500,0.143
C,,1500,0.145
C,,3000,0.28
C,,3000,0.294
C,,3000,0.298
C,,4500,0.475
C,,4500,0.484
C,,4500,0.495
O,0.3,LIF-391,0.36
D,,LIF-391,0.321
O,0.3,LIF-392,0.284
D,,LIF-392,0.345
O,0.3,LIF-393,0.239
D,,LIF-393,0.257
O,0.3,LIF-394,0.337
D,,LIF-394,0.346
O,0.3,LIF-395,0.449
D,,LIF-395,0.477
O,0.3,LIF-396,0.278
D,,LIF-396,0.308
O,0.3,LIF-397,0.325
D,,LIF-397,0.332
O,0.3,LIF-398,0.189
D,,LIF-398,0.198
O,0.3,LIF-399,0.325
D,,LIF-399,0.296
O,0.3,LIF-400,0.598
D,,LIF-400,0.595
O,0.3,LIF-401,0.608
D,,LIF-401,0.591
O,0.3,LIF-402,0.273
D,,LIF-402,0.266
O,0.3,LIF-403,0.385
D,,LIF-403,0.351
O,0.3,LIF-404,0.235
D,,LIF-404,0.246
O,0.3,LIF-405,0.513
D,,LIF-405,0.596
O,0.3,LIF-406,0.56
D,,LIF-406,0.58
O,0.2,LIF-407,0.234
D,,LIF-407,0.234
O,0.3,LIF-408,0.336
D,,LIF-408,0.275
O,0.3,LIF-409,0.212
D,,LIF-409,0.237
O,0.3,LIF-410,0.279
D,,LIF-410,0.251
O,0.3,LIF-411,0.292
D,,LIF-411,0.3
O,0.3,LIF-412,0.31
D,,LIF-412,0.305
O,0.3,LIF-413,0.584
D,,LIF-413,0.619
O,0.3,LIF-414,0.257
D,,LIF-414,0.265
O,0.3,LIF-415,0.371
D,,LIF-415,0.345
O,0.3,LIF-416,0.299
D,,LIF-416,0.348
O,0.3,LIF-417,0.381
D,,LIF-417,0.332
O,0.3,LIF-418,0.402
D,,LIF-418,0.393
