Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.012
B,,1_2,0.018
B,,2_1,0.008
B,,2_2,0.008
C,,0,0.004
C,,0,0.003
C,,0,0.002
C,,549.5825955,0.341
C,,549.5825955,0.333
C,,549.5825955,0.353
C,,1099.165191,0.643
C,,1099.165191,0.648
C,,1099.165191,0.659
C,,4396.660764,2.432
C,,4396.660764,0.02
C,,4396.660764,2.526
O,0.3,LIF-475,2.064
D,0.3,LIF-475,1.942
O,0.3,LIF-476,0.858
D,0.3,LIF-476,0.851
O,0.3,LIF-477,1.031
D,0.3,LIF-477,1.1
O,0.3,LIF-478,1.571
D,0.3,LIF-478,1.594
O,0.3,LIF-479,1.145
D,0.3,LIF-479,1.137
O,0.3,LIF-480,1.04
D,0.3,LIF-480,1.036
O,0.3,LIF-481,2.681
D,0.3,LIF-481,2.754
O,0.3,LIF-482,1.235
D,0.3,LIF-482,1.654
O,0.3,LIF-483,0.982
D,0.3,LIF-483,1
O,0.3,LIF-484,0.992
D,0.3,LIF-484,0.936
O,0.3,LIF-485,1.316
D,0.3,LIF-485,1.297
O,0.3,LIF-486,1
D,0.3,LIF-486,0.971
O,0.3,LIF-487,1.133
D,0.3,LIF-487,1.124
O,0.3,LIF-488,1.219
D,0.3,LIF-488,1.227
O,0.3,LIF-489,1.244
D,0.3,LIF-489,1.329
O,0.3,LIF-490,0.953
D,0.3,LIF-490,0.943
O,0.3,LIF-491,1.514
D,0.3,LIF-491,1.472
O,0.3,LIF-492,1.194
D,0.3,LIF-492,1.235
O,0.3,LIF-493,0.529
D,0.3,LIF-493,0.484
O,0.3,LIF-494,1.124
D,0.3,LIF-494,1.083
O,0.3,LIF-495,0.66
D,0.3,LIF-495,0.669
O,0.3,LIF-496,2.14
D,0.3,LIF-496,2.172
O,0.3,LIF-497,0.934
D,0.3,LIF-497,0.904
O,0.3,LIF-498,0.96
D,0.3,LIF-498,0.988
O,0.3,LIF-499,1.033
D,0.3,LIF-499,1.038
O,0.3,LIF-500,0.948
D,0.3,LIF-500,0.924
O,0.3,LIF-501,1.211
D,0.3,LIF-501,1.255
O,0.3,LIF-502,1.06
D,0.3,LIF-502,1.053
