Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.012
B,,1_2,0.011
B,,2_1,0.011
B,,2_2,0.009
C,,0,0.008
C,,0,0.009
C,,0,0.008
C,,549.5825955,0.374
C,,549.5825955,0.387
C,,549.5825955,0.385
C,,1099.165191,0.714
C,,1099.165191,0.752
C,,1099.165191,0.749
C,,4396.660764,2.748
C,,4396.660764,2.816
C,,4396.660764,2.725
O,0.3,LIF-400,0.381
D,0.3,LIF-400,0.368
O,0.3,LIF-410,0.38
D,0.3,LIF-410,0.362
O,0.3,LIF-417,0.545
D,0.3,LIF-417,0.566
O,0.3,LIF-418,0.625
D,0.3,LIF-418,0.637
O,0.3,LIF-467,0.886
D,0.3,LIF-467,0.933
O,0.3,LIF-469,1.151
D,0.3,LIF-469,1.168
O,0.3,LIF-482,1.755
D,0.3,LIF-482,1.74
O,0.3,LIF-527,1.467
D,0.3,LIF-527,1.481
O,0.3,LIF-528,1.429
D,0.3,LIF-528,1.431
O,0.3,LIF-529,1.258
D,0.3,LIF-529,1.231
O,0.3,LIF-530,1.363
D,0.3,LIF-530,1.388
O,0.3,LIF-531,0.554
D,0.3,LIF-531,0.581
O,0.3,LIF-532,0.658
D,0.3,LIF-532,0.669
O,0.3,LIF-533,0.012
D,0.3,LIF-533,0.009
O,0.3,LIF-534,1.298
D,0.3,LIF-534,1.35
O,0.3,LIF-535,1.305
D,0.3,LIF-535,1.32
O,0.3,LIF-536,1.809
D,0.3,LIF-536,1.765
O,0.3,LIF-537,0.661
D,0.3,LIF-537,0.698
O,0.3,LIF-538,0.014
D,0.3,LIF-538,0.009
O,0.3,LIF-539,0.962
D,0.3,LIF-539,0.977
O,0.3,LIF-540,1.948
D,0.3,LIF-540,2.031
