Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.002
B,,1_2,0.001
B,,2_1,0.003
B,,2_2,0.003
C,,0,0.001
C,,0,0
C,,0,-0.001
C,,1500,0.147
C,,1500,0.151
C,,1500,0.18
C,,3000,0.285
C,,3000,0.278
C,,3000,0.286
C,,4500,0.435
C,,4500,0.505
C,,4500,0.437
O,0.3,LIF-391,0.311
D,0.3,LIF-391,0.333
O,0.3,LIF-392,0.305
D,0.3,LIF-392,0.291
O,0.3,LIF-396,0.24
D,0.3,LIF-396,0.226
O,0.3,LIF-405,0.433
D,0.3,LIF-405,0.488
O,0.3,LIF-408,0.37
D,0.3,LIF-408,0.276
O,0.3,LIF-409,0.2
D,0.3,LIF-409,0.211
O,0.3,LIF-410,0.286
D,0.3,LIF-410,0.277
O,0.3,LIF-416,0.321
D,0.3,LIF-416,0.309
O,0.3,LIF-417,0.339
D,0.3,LIF-417,0.355
O,0.3,LIF-419,0.513
D,0.3,LIF-419,0.595
O,0.3,LIF-420,0.255
D,0.3,LIF-420,0.345
O,0.3,LIF-423,0.171
D,0.3,LIF-423,0.159
O,0.3,LIF-429,0.177
D,0.3,LIF-429,0.177
O,0.3,LIF-433,0.097
D,0.3,LIF-433,0.111
O,0.3,LIF-434,0.1
D,0.3,LIF-434,0.115
O,0.3,LIF-437,0.117
D,0.3,LIF-437,0.104
O,0.3,LIF-438,0.072
D,0.3,LIF-438,0.08
O,0.3,LIF-446,0.132
D,0.3,LIF-446,0.128
O,0.3,LIF-450,0.064
D,0.3,LIF-450,0.065
O,0.3,LIF-457,0.082
D,0.3,LIF-457,0.088
O,0.3,LIF-459,0.06
D,0.3,LIF-459,0.053
O,0.3,LIF-461,0.141
D,0.3,LIF-461,0.167
O,0.3,LIF-462,0.096
D,0.3,LIF-462,0.107
O,0.3,LIF-463,0.062
D,0.3,LIF-463,0.038
O,0.3,LIF-464,0.084
D,0.3,LIF-464,0.067
O,0.3,LIF-465,0.065
D,0.3,LIF-465,0.094
O,0.3,LIF-466,0.107
D,0.3,LIF-466,0.123
O,0.3,LIF-467,0.064
D,0.3,LIF-467,0.074
