Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,LIF-391,
D,,LIF-391,
O,,LIF-392,
D,,LIF-392,
O,,LIF-405,
D,,LIF-405,
O,,LIF-408,
D,,LIF-408,
O,,LIF-409,
D,,LIF-409,
O,,LIF-410,
D,,LIF-410,
O,,LIF-416,
D,,LIF-416,
O,,LIF-417,
D,,LIF-417,
O,,LIF-419,
D,,LIF-419,
O,,LIF-420,
D,,LIF-420,
O,,LIF-423,
D,,LIF-423,
O,,LIF-429,
D,,LIF-429,
O,,LIF-433,
D,,LIF-433,
O,,LIF-434,
D,,LIF-434,
O,,LIF-437,
D,,LIF-437,
O,,LIF-438,
D,,LIF-438,
O,,LIF-446,
D,,LIF-446,
O,,LIF-450,
D,,LIF-450,
O,,LIF-457,
D,,LIF-457,
O,,LIF-459,
D,,LIF-459,
O,,LIF-461,
D,,LIF-461,
O,,LIF-462,
D,,LIF-462,
O,,LIF-463,
D,,LIF-463,
O,,LIF-464,
D,,LIF-464,
O,,LIF-465,
D,,LIF-465,
O,,LIF-466,
D,,LIF-466,
O,,LIF-467,
D,,LIF-467,
O,,LIF-469,
D,,LIF-469,
O,,LIF-470,
D,,LIF-470,
O,,LIF-474,
D,,LIF-474,
O,,LIF-478,
D,,LIF-478,
O,,LIF-479,
D,,LIF-479,
O,,LIF-480,
D,,LIF-480,
O,,LIF-485,
D,,LIF-485,
O,,LIF-487,
D,,LIF-487,
O,,LIF-488,
D,,LIF-488,
O,,LIF-489,
D,,LIF-489,
O,,LIF-490,
D,,LIF-490,
O,,LIF-494,
D,,LIF-494,
O,,LIF-495,
D,,LIF-495,
O,,LIF-496,
D,,LIF-496,
O,,LIF-497,
D,,LIF-497,
O,,LIF-498,
D,,LIF-498,
O,,LIF-501,
D,,LIF-501,
O,,LIF-502,
D,,LIF-502,
O,,LIF-505,
D,,LIF-505,
O,,LIF-507,
D,,LIF-507,
O,,LIF-509,
D,,LIF-509,
O,,LIF-512,
D,,LIF-512,
O,,LIF-516,
D,,LIF-516,
O,,LIF-522,
D,,LIF-522,
O,,LIF-525,
D,,LIF-525,
O,,LIF-526,
D,,LIF-526,
O,,LIF-528,
D,,LIF-528,
O,,LIF-529,
D,,LIF-529,
O,,LIF-531,
D,,LIF-531,
O,,LIF-532,
D,,LIF-532,
O,,LIF-533,
D,,LIF-533,
O,,LIF-534,
D,,LIF-534,
O,,LIF-535,
D,,LIF-535,
O,,LIF-536,
D,,LIF-536,
O,,LIF-537,
D,,LIF-537,
O,,LIF-538,
D,,LIF-538,
O,,LIF-539,
D,,LIF-539,
O,,LIF-540,
D,,LIF-540,
O,,LIF-391,
D,,LIF-391,
O,,LIF-405,
D,,LIF-405,
O,,LIF-410,
D,,LIF-410,
O,,LIF-423,
D,,LIF-423,
O,,LIF-434,
D,,LIF-434,
O,,LIF-437,
D,,LIF-437,
O,,LIF-446,
D,,LIF-446,
O,,LIF-457,
D,,LIF-457,
O,,LIF-462,
D,,LIF-462,
O,,LIF-463,
D,,LIF-463,
O,,LIF-467,
D,,LIF-467,
O,,LIF-495,
D,,LIF-495,
O,,LIF-496,
D,,LIF-496,
O,,LIF-539,
D,,LIF-539,
O,,LIF-539,
D,,LIF-539,
O,,LIF-539,
D,,LIF-539,
O,,LIF-539,
D,,LIF-539,
O,,LIF-405,
D,,LIF-405,
O,,LIF-408,
D,,LIF-408,
O,,LIF-419,
D,,LIF-419,
O,,LIF-420,
D,,LIF-420,
O,,LIF-433,
D,,LIF-433,
O,,LIF-434,
D,,LIF-434,
O,,LIF-437,
D,,LIF-437,
O,,LIF-459,
D,,LIF-459,
O,,LIF-461,
D,,LIF-461,
O,,LIF-462,
D,,LIF-462,
O,,LIF-463,
D,,LIF-463,
O,,LIF-464,
D,,LIF-464,
O,,LIF-465,
D,,LIF-465,
O,,LIF-466,
D,,LIF-466,
O,,LIF-467,
D,,LIF-467,
O,,LIF-391,
D,,LIF-391,
O,,LIF-405,
D,,LIF-405,
O,,LIF-410,
D,,LIF-410,
O,,LIF-423,
D,,LIF-423,
O,,LIF-434,
D,,LIF-434,
O,,LIF-437,
D,,LIF-437,
O,,LIF-446,
D,,LIF-446,
O,,LIF-457,
D,,LIF-457,
O,,LIF-462,
D,,LIF-462,
O,,LIF-463,
D,,LIF-463,
O,,LIF-467,
D,,LIF-467,
O,,LIF-469,
D,,LIF-469,
O,,LIF-478,
D,,LIF-478,
O,,LIF-480,
D,,LIF-480,
O,,LIF-485,
D,,LIF-485,
O,,LIF-487,
D,,LIF-487,
O,,LIF-489,
D,,LIF-489,
O,,LIF-490,
D,,LIF-490,
O,,LIF-494,
D,,LIF-494,
O,,LIF-498,
D,,LIF-498,
O,,LIF-505,
D,,LIF-505,
O,,LIF-507,
D,,LIF-507,
O,,LIF-509,
D,,LIF-509,
O,,LIF-516,
D,,LIF-516,
O,,LIF-521,
D,,LIF-521,
O,,LIF-525,
D,,LIF-525,
O,,LIF-526,
D,,LIF-526,
