Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.013
B,,1_2,0.012
B,,2_1,0.01
B,,2_2,0.011
C,,0,0.008
C,,0,0.009
C,,0,0.01
C,,549.5825955,0.299
C,,549.5825955,0.298
C,,549.5825955,0.297
C,,1099.165191,0.574
C,,1099.165191,0.584
C,,1099.165191,0.592
C,,4396.660764,2.278
C,,4396.660764,2.256
C,,4396.660764,2.257
O,,IN-1217,2.062
D,,IN-1217,2.032
O,,IN-1218,2.257
D,,IN-1218,1.933
O,,IN-1219,2.227
D,,IN-1219,2.231
O,,IN-1220,2.643
D,,IN-1220,2.605
O,,IN-1221,2.191
D,,IN-1221,2.043
O,,IN-1222,2.233
D,,IN-1222,2.261
O,,IN-1223,2.832
D,,IN-1223,2.928
O,,IN-1224,2.816
D,,IN-1224,2.782
O,,IN-1225,2.341
D,,IN-1225,2.316
O,,IN-1226,2.001
D,,IN-1226,1.914
O,,IN-1227,2.541
D,,IN-1227,2.508
O,,IN-1228,2.478
D,,IN-1228,2.428
O,,IN-1229,2.698
D,,IN-1229,2.73
O,,IN-1230,2.902
D,,IN-1230,2.788
O,,IN-1231,2.763
D,,IN-1231,2.396
O,,IN-1232,2.8
D,,IN-1232,2.736
O,,IN-1233,2.453
D,,IN-1233,2.4
O,,IN-1234,2.063
D,,IN-1234,2.051
O,,IN-1235,2.035
D,,IN-1235,2.02
O,,IN-1236,2.19
D,,IN-1236,2.194
O,,IN-1237,2.293
D,,IN-1237,2.19
O,,IN-1238,2.148
D,,IN-1238,2.16
O,,IN-1239,2.579
D,,IN-1239,2.56
O,,IN-1240,2.488
D,,IN-1240,2.384
O,,IN-1241,1.864
D,,IN-1241,1.872
O,,IN-1242,1.857
D,,IN-1242,1.796
O,,IN-1243,2.324
D,,IN-1243,2.333
O,,IN-1244,2.243
D,,IN-1244,2.225
