Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.01
B,,1_2,0.009
B,,2_1,0.01
B,,2_2,0.01
C,,0,0.007
C,,0,0.006
C,,0,0.017
C,,549.5825955,0.301
C,,549.5825955,0.318
C,,549.5825955,0.318
C,,1099.165191,0.614
C,,1099.165191,0.619
C,,1099.165191,0.62
C,,4396.660764,2.394
C,,4396.660764,2.398
C,,4396.660764,2.401
O,,MN-0953,1.068
D,,MN-0953,1.066
O,,MN-0954,1.252
D,,MN-0954,1.291
O,,MN-0955,2.008
D,,MN-0955,2.013
O,,MN-0956,0.723
D,,MN-0956,0.711
O,,MN-0957,0.531
D,,MN-0957,0.527
O,,MN-0958,1.162
D,,MN-0958,1.198
O,,MN-0959,1.018
D,,MN-0959,1.002
O,,MN-0960,1.051
D,,MN-0960,1.057
O,,MN-0961,1.089
D,,MN-0961,1.103
O,,MN-0962,1.066
D,,MN-0962,1.041
O,,MN-0963,0.653
D,,MN-0963,0.652
O,,MN-0964,1.307
D,,MN-0964,1.361
O,,MN-0965,0.76
D,,MN-0965,0.749
O,,MN-0966,1.137
D,,MN-0966,1.146
O,,MN-0967,1.165
D,,MN-0967,1.202
O,,MN-0968,1.098
D,,MN-0968,1.115
O,,MN-0969,0.652
D,,MN-0969,0.669
O,,MN-0970,0.824
D,,MN-0970,0.821
O,,MN-0971,0.849
D,,MN-0971,0.882
O,,MN-0972,0.64
D,,MN-0972,0.64
O,,MN-0973,1.041
D,,MN-0973,1.06
O,,MN-0974,0.812
D,,MN-0974,0.823
O,,MN-0975,0.605
D,,MN-0975,0.609
O,,MN-0976,0.797
D,,MN-0976,0.839
O,,MN-0977,0.766
D,,MN-0977,0.793
O,,MN-0978,0.533
D,,MN-0978,0.522
O,,MN-0979,0.728
D,,MN-0979,0.742
O,,MN-0980,0.766
D,,MN-0980,0.753
