Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0,
C,,0,
C,,0,
C,,1500,
C,,1500,
C,,1500,
C,,3000,
C,,3000,
C,,3000,
C,,4500,
C,,4500,
C,,4500,
O,,SD2_657,
D,,SD2_657,
O,,SD2_658,
D,,SD2_658,
O,,SD2_659,
D,,SD2_659,
O,,SD2_660,
D,,SD2_660,
O,,SD2_661,
D,,SD2_661,
O,,SD2_662,
D,,SD2_662,
O,,SD2_663,
D,,SD2_663,
O,,SD2_664,
D,,SD2_664,
O,,SD2_665,
D,,SD2_665,
O,,SD2_666,
D,,SD2_666,
O,,SD2_667,
D,,SD2_667,
O,,SD2_668,
D,,SD2_668,
O,,SD2_669,
D,,SD2_669,
O,,SD2_670,
D,,SD2_670,
O,,SD2_671,
D,,SD2_671,
O,,SD2_672,
D,,SD2_672,
O,,SD2_673,
D,,SD2_673,
O,,SD2_674,
D,,SD2_674,
O,,SD2_675,
D,,SD2_675,
O,,SD2_676,
D,,SD2_676,
O,,SD2_677,
D,,SD2_677,
O,,SD2_678,
D,,SD2_678,
O,,SD2_679,
D,,SD2_679,
O,,SD2_680,
D,,SD2_680,
O,,SD2_681,
D,,SD2_681,
O,,SD2_682,
D,,SD2_682,
O,,SD2_683,
D,,SD2_683,
O,,SD2_684,
D,,SD2_684,
