Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,549.5825955,
C,,549.5825955,
C,,549.5825955,
C,,1099.165191,
C,,1099.165191,
C,,1099.165191,
C,,4396.660764,
C,,4396.660764,
C,,4396.660764,
O,,SD_580,
D,,SD_580,
O,,SD_582,
D,,SD_582,
O,,SD_583,
D,,SD_583,
O,,SD_585,
D,,SD_585,
O,,SD_586,
D,,SD_586,
O,,SD_588,
D,,SD_588,
O,,SD_589,
D,,SD_589,
O,,SD_590,
D,,SD_590,
O,,SD_591,
D,,SD_591,
O,,SD_592,
D,,SD_592,
O,,SD_593,
D,,SD_593,
O,,SD_594,
D,,SD_594,
O,,SD_595,
D,,SD_595,
O,,SD_597,
D,,SD_597,
O,,SD_598,
D,,SD_598,
O,,SD_600,
D,,SD_600,
O,,SD_601,
D,,SD_601,
O,,SD_602,
D,,SD_602,
O,,SD_603,
D,,SD_603,
O,,SD_604,
D,,SD_604,
O,,SD_605,
D,,SD_605,
O,,SD_606,
D,,SD_606,
O,,SD_607,
D,,SD_607,
O,,SD_608,
D,,SD_608,
O,,SD_609,
D,,SD_609,
O,,SD_610,
D,,SD_610,
O,,SD_611,
D,,SD_611,
O,,SD_612,
D,,SD_612,
