Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,LIF-263,
D,,LIF-263,
O,,LIF-306,
D,,LIF-306,
O,,LIF-330,
D,,LIF-330,
O,,LIF-332,
D,,LIF-332,
O,,LIF-333,
D,,LIF-333,
O,,LIF-342,
D,,LIF-342,
O,,LIF-344,
D,,LIF-344,
O,,LIF-353,
D,,LIF-353,
O,,LIF-356,
D,,LIF-356,
O,,LIF-359,
D,,LIF-359,
O,,LIF-360,
D,,LIF-360,
O,,LIF-367,
D,,LIF-367,
O,,LIF-369,
D,,LIF-369,
O,,LIF-372,
D,,LIF-372,
O,,LIF-375,
D,,LIF-375,
O,,LIF-376,
D,,LIF-376,
O,,LIF-377,
D,,LIF-377,
O,,LIF-379,
D,,LIF-379,
O,,LIF-381,
D,,LIF-381,
O,,LIF-383,
D,,LIF-383,
O,,LIF-384,
D,,LIF-384,
O,,LIF-386,
D,,LIF-386,
O,,LIF-388,
D,,LIF-388,
O,,LIF-389,
D,,LIF-389,
O,,LIF-390,
D,,LIF-390,
O,,LIF-381,
D,,LIF-381,
O,,LIF-383,
D,,LIF-383,
O,,LIF-384,
D,,LIF-384,
O,,LIF-386,
D,,LIF-386,
O,,LIF-388,
D,,LIF-388,
O,,LIF-389,
D,,LIF-389,
O,,LIF-390,
D,,LIF-390,
O,,LIF-342,
D,,LIF-342,
O,,LIF-353,
D,,LIF-353,
O,,LIF-359,
D,,LIF-359,
O,,LIF-360,
D,,LIF-360,
O,,LIF-372,
D,,LIF-372,
O,,LIF-379,
D,,LIF-379,
O,,LIF-381,
D,,LIF-381,
O,,LIF-383,
D,,LIF-383,
O,,LIF-384,
D,,LIF-384,
O,,LIF-386,
D,,LIF-386,
O,,LIF-389,
D,,LIF-389,
O,,LIF-372,
D,,LIF-372,
O,,LIF-379,
D,,LIF-379,
O,,LIF-383,
D,,LIF-383,
O,,LIF-384,
D,,LIF-384,
O,,LIF-384,
D,,LIF-384,
O,,LIF-386,
D,,LIF-386,
O,,LIF-386,
D,,LIF-386,
O,,LIF-389,
D,,LIF-389,
O,,LIF-389,
D,,LIF-389,
O,,LIF-389,
D,,LIF-389,
O,,LIF-389,
D,,LIF-389,
O,,LIF-389,
D,,LIF-389,
O,,LIF-372,
D,,LIF-372,
O,,LIF-379,
D,,LIF-379,
O,,LIF-383,
D,,LIF-383,
O,,LIF-384,
D,,LIF-384,
O,,LIF-386,
D,,LIF-386,
O,,LIF-389,
D,,LIF-389,
O,,LIF-384,
D,,LIF-384,
O,,LIF-386,
D,,LIF-386,
O,,LIF-389,
D,,LIF-389,
O,,LIF-389,
D,,LIF-389,
O,,LIF-389,
D,,LIF-389,
O,,LIF-359,
D,,LIF-359,
O,,LIF-360,
D,,LIF-360,
O,,LIF-362,
D,,LIF-362,
O,,LIF-364,
D,,LIF-364,
O,,LIF-365,
D,,LIF-365,
O,,LIF-371,
D,,LIF-371,
O,,LIF-374,
D,,LIF-374,
O,,LIF-377,
D,,LIF-377,
O,,LIF-378,
D,,LIF-378,
O,,LIF-379,
D,,LIF-379,
