Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.003
B,,1_2,0.003
B,,2_1,0.004
B,,2_2,0.002
C,,0,0.004
C,,0,0
C,,0,-0.001
C,,1500,0.165
C,,1500,0.149
C,,1500,0.166
C,,3000,0.29
C,,3000,0.273
C,,3000,0.288
C,,4500,0.477
C,,4500,0.418
C,,4500,0.472
O,0.3,LIF-269,0.723
D,,LIF-269,0.7
O,0.3,LIF-270,0.72
D,,LIF-270,0.717
O,0.3,LIF-271,1.041
D,,LIF-271,1.049
O,0.3,LIF-272,0.903
D,,LIF-272,0.897
O,0.3,LIF-273,0.922
D,,LIF-273,0.83
O,0.3,LIF-274,0.603
D,,LIF-274,0.579
O,0.3,LIF-275,1.362
D,,LIF-275,1.358
O,0.3,LIF-276,1.365
D,,LIF-276,1.36
O,0.3,LIF-277,0.99
D,,LIF-277,0.937
O,0.3,LIF-278,1.34
D,,LIF-278,1.286
O,0.3,LIF-279,1.096
D,,LIF-279,1.111
O,0.3,LIF-280,1.132
D,,LIF-280,1.085
O,0.3,LIF-281,1.118
D,,LIF-281,1.145
O,0.3,LIF-282,1.089
D,,LIF-282,1.069
O,0.3,LIF-283,1.064
D,,LIF-283,1.102
O,0.3,LIF-284,0.909
D,,LIF-284,0.947
O,0.3,LIF-285,1.179
D,,LIF-285,1.224
O,0.3,LIF-286,1.038
D,,LIF-286,1.026
O,0.3,LIF-287,0.552
D,,LIF-287,0.511
O,0.3,LIF-288,0.477
D,,LIF-288,0.469
O,0.3,LIF-289,0.92
D,,LIF-289,0.908
O,0.3,LIF-290,0.822
D,,LIF-290,0.821
O,0.3,LIF-291,0.798
D,,LIF-291,0.783
O,0.3,LIF-292,0.896
D,,LIF-292,0.869
O,0.3,LIF-293,1.088
D,,LIF-293,1.059
O,0.3,LIF-294,0.553
D,,LIF-294,0.583
O,0.3,LIF-295,0.605
D,,LIF-295,0.596
O,0.3,LIF-296,0.462
D,,LIF-296,0.483
