Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.011
B,,1_2,0.009
B,,2_1,0.01
B,,2_2,0.01
C,,0,0.008
C,,0,0.008
C,,0,0.007
C,,549.5825955,0.334
C,,549.5825955,0.344
C,,549.5825955,0.333
C,,1099.165191,0.655
C,,1099.165191,0.673
C,,1099.165191,0.671
C,,4396.660764,2.551
C,,4396.660764,2.639
C,,4396.660764,2.571
O,0.3,LIF-331,0.651
D,,LIF-331,0.639
O,0.3,LIF-332,1.926
D,,LIF-332,1.906
O,0.3,LIF-333,1.631
D,,LIF-333,1.604
O,0.3,LIF-334,1.493
D,,LIF-334,1.476
O,0.3,LIF-335,1.299
D,,LIF-335,1.331
O,0.3,LIF-336,0.661
D,,LIF-336,0.652
O,0.3,LIF-337,1.118
D,,LIF-337,1.126
O,0.3,LIF-338,0.411
D,,LIF-338,0.395
O,0.3,LIF-339,0.83
D,,LIF-339,0.851
O,0.3,LIF-340,0.867
D,,LIF-340,0.859
O,0.3,LIF-341,0.914
D,,LIF-341,0.939
O,0.3,LIF-342,0.875
D,,LIF-342,0.882
O,0.3,LIF-343,0.421
D,,LIF-343,0.428
O,0.3,LIF-344,1.405
D,,LIF-344,1.387
O,0.3,LIF-345,0.722
D,,LIF-345,0.74
O,0.3,LIF-346,1.143
D,,LIF-346,1.172
O,0.3,LIF-347,1.46
D,,LIF-347,1.466
O,0.3,LIF-348,1.471
D,,LIF-348,1.535
O,0.3,LIF-349,0.963
D,,LIF-349,0.973
O,0.3,LIF-350,1.014
D,,LIF-350,1.011
O,0.3,LIF-351,0.976
D,,LIF-351,0.995
O,0.3,LIF-352,1.041
D,,LIF-352,1.045
O,0.3,LIF-353,0.569
D,,LIF-353,0.563
O,0.3,LIF-354,0.579
D,,LIF-354,0.591
O,0.3,LIF-355,1.704
D,,LIF-355,1.698
O,0.3,LIF-356,1.195
D,,LIF-356,1.212
O,0.3,LIF-357,1.747
D,,LIF-357,1.787
O,0.3,LIF-358,0.41
D,,LIF-358,0.403
