Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.001
B,,1_2,0.001
B,,2_1,0.003
B,,2_2,0.003
C,,0,0.002
C,,0,0.002
C,,0,0.001
C,,1500,0.149
C,,1500,0.151
C,,1500,0.149
C,,3000,0.312
C,,3000,0.334
C,,3000,0.28
C,,4500,0.445
C,,4500,0.463
C,,4500,0.492
O,0.3,LIF-263,1.136
D,,LIF-263,1.131
O,0.3,LIF-306,0.778
D,,LIF-306,0.703
O,0.3,LIF-330,0.201
D,,LIF-330,0.21
O,0.3,LIF-332,0.073
D,,LIF-332,0.075
O,0.3,LIF-333,0.117
D,,LIF-333,0.121
O,0.3,LIF-342,0.097
D,,LIF-342,0.108
O,0.3,LIF-344,0.068
D,,LIF-344,0.068
O,0.3,LIF-350,0.086
D,,LIF-350,0.082
O,0.3,LIF-353,0.073
D,,LIF-353,0.061
O,0.3,LIF-356,0.092
D,,LIF-356,0.089
O,0.3,LIF-359,0.062
D,,LIF-359,0.071
O,0.3,LIF-360,0.062
D,,LIF-360,0.073
O,0.3,LIF-367,0.082
D,,LIF-367,0.091
O,0.3,LIF-369,0.075
D,,LIF-369,0.068
O,0.3,LIF-372,0.126
D,,LIF-372,0.109
O,0.3,LIF-375,0.063
D,,LIF-375,0.064
O,0.3,LIF-376,0.125
D,,LIF-376,0.12
O,0.3,LIF-377,0.08
D,,LIF-377,0.072
O,0.3,LIF-379,0.078
D,,LIF-379,0.1
O,0.3,LIF-381,0.071
D,,LIF-381,0.061
O,0.3,LIF-383,0.06
D,,LIF-383,0.069
O,0.3,LIF-384,0.081
D,,LIF-384,0.092
O,0.3,LIF-386,0.084
D,,LIF-386,0.064
O,0.3,LIF-388,0.088
D,,LIF-388,0.086
O,0.3,LIF-389,0.131
D,,LIF-389,0.048
O,0.3,LIF-390,0.056
D,,LIF-390,0.054
