Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,LIG-162,
D,,LIG-162,
O,,LIG-163,
D,,LIG-163,
O,,LIG-165,
D,,LIG-165,
O,,LIG-166,
D,,LIG-166,
O,,LIG-171,
D,,LIG-171,
O,,LIG-172,
D,,LIG-172,
O,,LIG-178,
D,,LIG-178,
O,,LIG-179,
D,,LIG-179,
O,,LIG-180,
D,,LIG-180,
O,,LIG-182,
D,,LIG-182,
O,,LIG-185,
D,,LIG-185,
O,,LIG-187,
D,,LIG-187,
O,,LIG-188,
D,,LIG-188,
O,,LIG-189,
D,,LIG-189,
O,,LIG-190,
D,,LIG-190,
O,,LIG-191,
D,,LIG-191,
O,,LIG-193,
D,,LIG-193,
O,,LIG-195,
D,,LIG-195,
O,,LIG-196,
D,,LIG-196,
O,,LIG-198,
D,,LIG-198,
O,,LIG-200,
D,,LIG-200,
O,,LIG-224,
D,,LIG-224,
O,,LIG-225,
D,,LIG-225,
O,,LIG-229,
D,,LIG-229,
O,,LIG-235,
D,,LIG-235,
O,,LIG-236,
D,,LIG-236,
O,,LIG-239,
D,,LIG-239,
O,,LIG-240,
D,,LIG-240,
O,,LIG-159,
D,,LIG-159,
O,,LIG-63,
D,,LIG-63,
O,,LIG-107,
D,,LIG-107,
O,,LIG-182,
D,,LIG-182,
O,,LIG-190,
D,,LIG-190,
O,,LIG-191,
D,,LIG-191,
O,,LIG-196,
D,,LIG-196,
O,,LIG-200,
D,,LIG-200,
O,,LIG-229,
D,,LIG-229,
O,,LIG-236,
D,,LIG-236,
O,,LIG-182,
D,,LIG-182,
O,,LIG-191,
D,,LIG-191,
