Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.004
B,,1_2,0.004
B,,2_1,0.006
B,,2_2,0.008
C,,0,0.005
C,,0,0.008
C,,0,0.006
C,,1500,0.181
C,,1500,0.185
C,,1500,0.187
C,,3000,0.349
C,,3000,0.350
C,,3000,0.358
C,,4500,0.501
C,,4500,0.525
C,,4500,0.528
O,,LIG-120,0.191
D,,LIG-120,0.188
O,,LIG-121,0.053
D,,LIG-121,0.052
O,,LIG-122,0.071
D,,LIG-122,0.074
O,,LIG-123,0.075
D,,LIG-123,0.070
O,,LIG-124,0.060
D,,LIG-124,0.063
O,,LIG-125,0.069
D,,LIG-125,0.068
O,,LIG-126,0.066
D,,LIG-126,0.065
O,,LIG-127,0.070
D,,LIG-127,0.072
O,,LIG-128,0.066
D,,LIG-128,0.066
O,,LIG-129,0.068
D,,LIG-129,0.069
O,,LIG-130,0.062
D,,LIG-130,0.063
O,,LIG-131,0.073
D,,LIG-131,0.070
O,,LIG-132,0.066
D,,LIG-132,0.066
O,,LIG-133,0.066
D,,LIG-133,0.063
O,,LIG-134,0.089
D,,LIG-134,0.092
O,,LIG-135,0.081
D,,LIG-135,0.087
O,,LIG-136,0.073
D,,LIG-136,0.072
O,,LIG-137,0.170
D,,LIG-137,0.175
O,,LIG-138,0.118
D,,LIG-138,0.113
O,,LIG-139,0.159
D,,LIG-139,0.169
O,,LIG-140,0.062
D,,LIG-140,0.059
O,,LIG-141,0.048
D,,LIG-141,0.044
O,,LIG-142,0.084
D,,LIG-142,0.088
