Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.012
B,,1_2,0.007
B,,2_1,0.011
B,,2_2,0.010
C,,0,0.007
C,,0,0.010
C,,0,0.009
C,,549.5825955,0.335
C,,549.5825955,0.347
C,,549.5825955,0.334
C,,1099.165191,0.683
C,,1099.165191,0.664
C,,1099.165191,0.656
C,,1648.7,0.716
C,,1648.7,1.003
C,,1648.7,1.008
C,,2200,1.377
C,,2200,1.350
C,,2200,1.361
C,,3300,2.043
C,,3300,2.039
C,,3300,2.001
C,,4400,2.579
C,,4400,2.682
C,,4400,2.568
O,,LIG-143,0.304
D,,LIG-143,0.276
O,,LIG-144,0.054
D,,LIG-144,0.050
O,,LIG-145,1.155
D,,LIG-145,1.164
O,,LIG-146,0.316
D,,LIG-146,0.311
O,,LIG-147,0.585
D,,LIG-147,0.605
O,,LIG-148,0.317
D,,LIG-148,0.315
O,,LIG-149,0.600
D,,LIG-149,0.570
O,,LIG-150,0.340
D,,LIG-150,0.332
O,,LIG-151,0.358
D,,LIG-151,0.354
O,,LIG-152,1.001
D,,LIG-152,0.971
O,,LIG-153,0.864
D,,LIG-153,0.859
O,,LIG-154,0.544
D,,LIG-154,0.515
O,,LIG-155,0.903
D,,LIG-155,0.876
O,,LIG-156,0.918
D,,LIG-156,0.901
O,,LIG-157,0.150
D,,LIG-157,0.134
O,,LIG-158,0.099
D,,LIG-158,0.098
O,,LIG-159,0.117
D,,LIG-159,0.115
O,,LIG-160,0.326
D,,LIG-160,0.313
