Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.002
B,,1_2,0.001
B,,2_1,0.001
B,,2_2,0
C,,0,0.001
C,,0,0.014
C,,0,0.004
C,,1500,0.156
C,,1500,0.145
C,,1500,0.154
C,,3000,0.275
C,,3000,0.284
C,,3000,0.321
C,,4500,0.443
C,,4500,0.454
C,,4500,0.453
O,0.3,LIF-447,0.198
D,0.3,LIF-447,0.194
O,0.3,LIF-448,0.087
D,0.3,LIF-448,0.092
O,0.3,LIF-449,0.15
D,0.3,LIF-449,0.163
O,0.3,LIF-450,0.082
D,0.3,LIF-450,0.097
O,0.3,LIF-451,0.064
D,0.3,LIF-451,0.065
O,0.3,LIF-452,0.111
D,0.3,LIF-452,0.11
O,0.3,LIF-453,0.105
D,0.3,LIF-453,0.105
O,0.3,LIF-454,0.143
D,0.3,LIF-454,0.143
O,0.3,LIF-455,0.141
D,0.3,LIF-455,0.138
O,0.3,LIF-456,0.052
D,0.3,LIF-456,0.054
O,0.3,LIF-457,0.068
D,0.3,LIF-457,0.097
O,0.3,LIF-458,0.082
D,0.3,LIF-458,0.081
O,0.3,LIF-459,0.059
D,0.3,LIF-459,0.052
O,0.3,LIF-460,0.176
D,0.3,LIF-460,0.16
O,0.3,LIF-461,0.187
D,0.3,LIF-461,0.16
O,0.3,LIF-462,0.091
D,0.3,LIF-462,0.107
O,0.3,LIF-463,0.056
D,0.3,LIF-463,0.044
O,0.3,LIF-464,0.069
D,0.3,LIF-464,0.059
O,0.3,LIF-465,0.069
D,0.3,LIF-465,0.079
O,0.3,LIF-466,0.14
D,0.3,LIF-466,0.116
O,0.3,LIF-467,0.064
D,0.3,LIF-467,0.048
O,0.3,LIF-468,0.03
D,0.3,LIF-468,0.03
O,0.3,LIF-469,0.037
D,0.3,LIF-469,0.053
O,0.3,LIF-470,0.035
D,0.3,LIF-470,0.042
O,0.3,LIF-471,0.079
D,0.3,LIF-471,0.084
O,0.3,LIF-472,0.074
D,0.3,LIF-472,0.075
O,0.3,LIF-473,0.098
D,0.3,LIF-473,0.102
O,0.3,LIF-474,0.058
D,0.3,LIF-474,0.069
