Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.006
B,,1_2,0.006
B,,2_1,0.007
B,,2_2,0.004
C,,0,0.005
C,,0,0.003
C,,0,0.004
C,,549.5825955,0.362
C,,549.5825955,0.323
C,,549.5825955,0.333
C,,1099.165191,0.646
C,,1099.165191,0.638
C,,1099.165191,0.672
C,,4396.660764,2.451
C,,4396.660764,2.457
C,,4396.660764,2.449
O,0.3,LIF-503,1.126
D,0.3,LIF-503,1.117
O,0.3,LIF-504,1.197
D,0.3,LIF-504,1.187
O,0.3,LIF-505,2.065
D,0.3,LIF-505,2.055
O,0.3,LIF-506,2.335
D,0.3,LIF-506,2.379
O,0.3,LIF-507,1.149
D,0.3,LIF-507,1.137
O,0.3,LIF-508,0.698
D,0.3,LIF-508,0.687
O,0.3,LIF-509,1.235
D,0.3,LIF-509,1.251
O,0.3,LIF-510,0.928
D,0.3,LIF-510,0.88
O,0.3,LIF-511,0.733
D,0.3,LIF-511,0.756
O,0.3,LIF-512,1.958
D,0.3,LIF-512,2.012
O,0.3,LIF-513,0.578
D,0.3,LIF-513,0.573
O,0.3,LIF-514,0.394
D,0.3,LIF-514,0.385
O,0.3,LIF-515,0.527
D,0.3,LIF-515,0.508
O,0.3,LIF-516,0.812
D,0.3,LIF-516,0.85
O,0.3,LIF-517,0.325
D,0.3,LIF-517,0.336
O,0.3,LIF-518,0.945
D,0.3,LIF-518,0.96
O,0.3,LIF-519,0.401
D,0.3,LIF-519,0.396
O,0.3,LIF-520,0.266
D,0.3,LIF-520,0.261
O,0.3,LIF-521,0.651
D,0.3,LIF-521,0.644
O,0.3,LIF-522,0.625
D,0.3,LIF-522,0.635
O,0.3,LIF-523,0.53
D,0.3,LIF-523,0.508
O,0.3,LIF-524,0.591
D,0.3,LIF-524,0.568
O,0.3,LIF-525,0.284
D,0.3,LIF-525,0.298
O,0.3,LIF-526,1.324
D,0.3,LIF-526,1.323
