Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.003
B,,1_2,0.005
B,,2_1,0.004
B,,2_2,0.002
C,,0,0.001
C,,0,0.001
C,,0,-0.001
C,,1500,0.162
C,,1500,0.161
C,,1500,0.162
C,,3000,0.339
C,,3000,0.327
C,,3000,0.294
C,,4500,0.5
C,,4500,0.507
C,,4500,0.492
O,0.3,LIF-391,0.346
D,0.3,LIF-391,0.3
O,0.3,LIF-392,0.293
D,0.3,LIF-392,0.296
O,0.3,LIF-396,0.245
D,0.3,LIF-396,0.259
O,0.3,LIF-405,0.545
D,0.3,LIF-405,0.472
O,0.3,LIF-408,0.326
D,0.3,LIF-408,0.33
O,0.3,LIF-409,0.24
D,0.3,LIF-409,0.223
O,0.3,LIF-410,0.29
D,0.3,LIF-410,0.255
O,0.3,LIF-416,0.394
D,0.3,LIF-416,0.373
O,0.3,LIF-417,0.349
D,0.3,LIF-417,0.359
O,0.3,LIF-419,0.528
D,0.3,LIF-419,0.586
O,0.3,LIF-420,0.299
D,0.3,LIF-420,0.304
O,0.3,LIF-423,0.168
D,0.3,LIF-423,0.189
O,0.3,LIF-429,0.163
D,0.3,LIF-429,0.163
O,0.3,LIF-433,0.113
D,0.3,LIF-433,0.123
O,0.3,LIF-434,0.108
D,0.3,LIF-434,0.121
O,0.3,LIF-437,0.067
D,0.3,LIF-437,-0.008
O,0.3,LIF-438,0.087
D,0.3,LIF-438,0.081
O,0.3,LIF-446,0.15
D,0.3,LIF-446,0.11
O,0.3,LIF-450,0.084
D,0.3,LIF-450,0.085
O,0.3,LIF-457,0.071
D,0.3,LIF-457,0.089
O,0.3,LIF-459,0.057
D,0.3,LIF-459,0.053
O,0.3,LIF-461,0.185
D,0.3,LIF-461,0.18
O,0.3,LIF-462,0.087
D,0.3,LIF-462,0.098
O,0.3,LIF-463,0.049
D,0.3,LIF-463,0.044
O,0.3,LIF-464,0.075
D,0.3,LIF-464,0.069
O,0.3,LIF-465,0.076
D,0.3,LIF-465,0.073
O,0.3,LIF-466,0.126
D,0.3,LIF-466,0.131
O,0.3,LIF-467,0.063
D,0.3,LIF-467,0.072
