Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.002
B,,1_2,0.002
B,,2_1,0.002
B,,2_2,0.003
C,,0,0.002
C,,0,0
C,,0,0.002
C,,1500,0.149
C,,1500,0.155
C,,1500,0.152
C,,3000,0.297
C,,3000,0.29
C,,3000,0.34
C,,4500,0.445
C,,4500,0.453
C,,4500,0.513
O,0.3,LIF-469,0.076
D,0.3,LIF-469,0.067
O,0.3,LIF-470,0.06
D,0.3,LIF-470,0.061
O,0.3,LIF-474,0.092
D,0.3,LIF-474,0.086
O,0.3,LIF-478,0.061
D,0.3,LIF-478,0.07
O,0.3,LIF-479,0.217
D,0.3,LIF-479,0.21
O,0.3,LIF-480,0.08
D,0.3,LIF-480,0.066
O,0.3,LIF-485,0.102
D,0.3,LIF-485,0.079
O,0.3,LIF-487,-0.03
D,0.3,LIF-487,0.083
O,0.3,LIF-488,0.089
D,0.3,LIF-488,0.094
O,0.3,LIF-489,0.074
D,0.3,LIF-489,0.065
O,0.3,LIF-490,0.07
D,0.3,LIF-490,0.079
O,0.3,LIF-494,0.084
D,0.3,LIF-494,0.071
O,0.3,LIF-495,0.081
D,0.3,LIF-495,0.082
O,0.3,LIF-496,0.041
D,0.3,LIF-496,0.044
O,0.3,LIF-497,0.058
D,0.3,LIF-497,0.061
O,0.3,LIF-498,0.05
D,0.3,LIF-498,0.057
O,0.3,LIF-501,0.101
D,0.3,LIF-501,0.107
O,0.3,LIF-502,0.036
D,0.3,LIF-502,0.04
O,0.3,LIF-505,0.044
D,0.3,LIF-505,0.051
O,0.3,LIF-507,0.044
D,0.3,LIF-507,0.049
O,0.3,LIF-509,0.068
D,0.3,LIF-509,0.08
O,0.3,LIF-512,0.061
D,0.3,LIF-512,0.059
O,0.3,LIF-516,0.068
D,0.3,LIF-516,0.06
O,0.3,LIF-521,0.058
D,0.3,LIF-521,0.049
O,0.3,LIF-522,0.064
D,0.3,LIF-522,0.063
O,0.3,LIF-524,0.047
D,0.3,LIF-524,0.048
O,0.3,LIF-525,0.046
D,0.3,LIF-525,0.053
O,0.3,LIF-526,0.061
D,0.3,LIF-526,0.048
