Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0,0.003
C,,0,0.005
C,,0,0.006
C,,1500,0.156
C,,1500,0.16
C,,1500,0.16
C,,3000,0.287
C,,3000,0.279
C,,3000,0.335
C,,4500,0.503
C,,4500,0.433
C,,4500,0.507
O,0.3,LIF-531,0.059
D,0.3,LIF-531,0.052
O,0.3,LIF-532,0.039
D,0.3,LIF-532,0.047
O,0.3,LIF-533,0.009
D,0.3,LIF-533,0.007
O,0.3,LIF-534,0.048
D,0.3,LIF-534,0.041
O,0.3,LIF-535,0.045
D,0.3,LIF-535,0.048
O,0.3,LIF-536,0.046
D,0.3,LIF-536,0.047
O,0.3,LIF-537,0.042
D,0.3,LIF-537,0.042
O,0.3,LIF-538,0.005
D,0.3,LIF-538,0.003
O,0.3,LIF-539,0.049
D,0.3,LIF-539,0.044
O,0.3,LIF-540,0.048
D,0.3,LIF-540,0.046
