Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,RV_CTS_201,
D,,RV_CTS_201,
O,,RV_CTS_202,
D,,RV_CTS_202,
O,,RV_CTS_203,
D,,RV_CTS_203,
O,,RV_CTS_204,
D,,RV_CTS_204,
O,,RV_CTS_205,
D,,RV_CTS_205,
O,,RV_CTS_206,
D,,RV_CTS_206,
O,,RV_CTS_207,
D,,RV_CTS_207,
O,,RV_CTS_208,
D,,RV_CTS_208,
O,,RV_CTS_209,
D,,RV_CTS_209,
O,,RV_CTS_210,
D,,RV_CTS_210,
O,,RV_CTS_211,
D,,RV_CTS_211,
O,,RV_CTS_212,
D,,RV_CTS_212,
O,,RV_CTS_213,
D,,RV_CTS_213,
O,,RV_CTS_214,
D,,RV_CTS_214,
O,,RV_CTS_215,
D,,RV_CTS_215,
O,,RV_CTS_216,
D,,RV_CTS_216,
O,,RV_CTS_217,
D,,RV_CTS_217,
O,,RV_CTS_218,
D,,RV_CTS_218,
O,,RV_CTS_219,
D,,RV_CTS_219,
O,,RV_CTS_220,
D,,RV_CTS_220,
O,,RV_CTS_221,
D,,RV_CTS_221,
O,,RV_CTS_222,
D,,RV_CTS_222,
O,,RV_CTS_223,
D,,RV_CTS_223,
O,,RV_CTS_224,
D,,RV_CTS_224,
O,,RV_CTS_225,
D,,RV_CTS_225,
O,,RV_CTS_226,
D,,RV_CTS_226,
O,,RV_CTS_227,
D,,RV_CTS_227,
O,,RV_CTS_228,
D,,RV_CTS_228,
O,,RV_CTS_229,
D,,RV_CTS_229,
O,,RV_CTS_230,
D,,RV_CTS_230,
O,,RV_CTS_231,
D,,RV_CTS_231,
O,,RV_CTS_232,
D,,RV_CTS_232,
O,,RV_CTS_233,
D,,RV_CTS_233,
O,,RV_CTS_234,
D,,RV_CTS_234,
O,,RV_CTS_235,
D,,RV_CTS_235,
O,,RV_CTS_236,
D,,RV_CTS_236,
O,,RV_CTS_237,
D,,RV_CTS_237,
O,,RV_CTS_238,
D,,RV_CTS_238,
O,,RV_CTS_239,
D,,RV_CTS_239,
O,,RV_CTS_240,
D,,RV_CTS_240,
O,,RV_CTS_241,
D,,RV_CTS_241,
O,,RV_CTS_242,
D,,RV_CTS_242,
O,,RV_CTS_243,
D,,RV_CTS_243,
O,,RV_CTS_244,
D,,RV_CTS_244,
O,,RV_CTS_245,
D,,RV_CTS_245,
O,,RV_CTS_246,
D,,RV_CTS_246,
O,,RV_CTS_247,
D,,RV_CTS_247,
O,,RV_CTS_248,
D,,RV_CTS_248,
O,,RV_CTS_249,
D,,RV_CTS_249,
O,,RV_CTS_250,
D,,RV_CTS_250,
O,,RV_CTS_251,
D,,RV_CTS_251,
O,,RV_CTS_252,
D,,RV_CTS_252,
O,,RV_CTS_253,
D,,RV_CTS_253,
O,,RV_CTS_254,
D,,RV_CTS_254,
O,,RV_CTS_255,
D,,RV_CTS_255,
O,,RV_CTS_256,
D,,RV_CTS_256,
O,,RV_CTS_257,
D,,RV_CTS_257,
O,,RV_CTS_258,
D,,RV_CTS_258,
O,,RV_CTS_259,
D,,RV_CTS_259,
O,,RV_CTS_260,
D,,RV_CTS_260,
O,,RV_CTS_261,
D,,RV_CTS_261,
O,,RV_CTS_262,
D,,RV_CTS_262,
O,,RV_CTS_263,
D,,RV_CTS_263,
O,,RV_CTS_264,
D,,RV_CTS_264,
O,,RV_CTS_265,
D,,RV_CTS_265,
O,,RV_CTS_266,
D,,RV_CTS_266,
O,,RV_CTS_267,
D,,RV_CTS_267,
O,,RV_CTS_268,
D,,RV_CTS_268,
O,,RV_CTS_269,
D,,RV_CTS_269,
O,,RV_CTS_270,
D,,RV_CTS_270,
O,,RV_CTS_271,
D,,RV_CTS_271,
O,,RV_CTS_272,
D,,RV_CTS_272,
O,,RV_CTS_273,
D,,RV_CTS_273,
O,,RV_CTS_274,
D,,RV_CTS_274,
O,,RV_CTS_275,
D,,RV_CTS_275,
O,,RV_CTS_276,
D,,RV_CTS_276,
O,,RV_CTS_277,
D,,RV_CTS_277,
O,,RV_CTS_278,
D,,RV_CTS_278,
O,,RV_CTS_279,
D,,RV_CTS_279,
O,,RV_CTS_280,
D,,RV_CTS_280,
O,,RV_CTS_281,
D,,RV_CTS_281,
O,,RV_CTS_282,
D,,RV_CTS_282,
O,,RV_CTS_283,
D,,RV_CTS_283,
O,,RV_CTS_284,
D,,RV_CTS_284,
O,,RV_CTS_285,
D,,RV_CTS_285,
O,,RV_CTS_286,
D,,RV_CTS_286,
O,,RV_CTS_287,
D,,RV_CTS_287,
O,,RV_CTS_288,
D,,RV_CTS_288,
O,,RV_CTS_289,
D,,RV_CTS_289,
O,,RV_CTS_290,
D,,RV_CTS_290,
O,,RV_CTS_291,
D,,RV_CTS_291,
O,,RV_CTS_292,
D,,RV_CTS_292,
O,,RV_CTS_293,
D,,RV_CTS_293,
O,,RV_CTS_294,
D,,RV_CTS_294,
O,,RV_CTS_295,
D,,RV_CTS_295,
O,,RV_CTS_296,
D,,RV_CTS_296,
O,,RV_CTS_297,
D,,RV_CTS_297,
O,,RV_CTS_298,
D,,RV_CTS_298,
O,,RV_CTS_299,
D,,RV_CTS_299,
O,,RV_CTS_300,
D,,RV_CTS_300,
