Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0
B,,1_2,0
B,,2_1,0
B,,2_2,0
C,,0,0
C,,0,25
C,,0,0
C,,1500,1200
C,,1500,1300
C,,1500,1600
C,,3000,2356
C,,3000,1646
C,,3000,4555
C,,4500,4500
C,,4500,6230
C,,4500,2350
O,,RV_CTS_001,5
D,,RV_CTS_001,5
O,,RV_CTS_002,5
D,,RV_CTS_002,5
O,,RV_CTS_003,5
D,,RV_CTS_003,5
O,,RV_CTS_004,5
D,,RV_CTS_004,5
O,,RV_CTS_005,5
D,,RV_CTS_005,5
O,,RV_CTS_006,5
D,,RV_CTS_006,5
O,,RV_CTS_007,5
D,,RV_CTS_007,5
O,,RV_CTS_008,5
D,,RV_CTS_008,5
O,,RV_CTS_009,5
D,,RV_CTS_009,5
O,,RV_CTS_010,5
D,,RV_CTS_010,5
O,,RV_CTS_011,
D,,RV_CTS_011,
O,,RV_CTS_012,
D,,RV_CTS_012,
O,,RV_CTS_013,
D,,RV_CTS_013,
O,,RV_CTS_014,
D,,RV_CTS_014,
O,,RV_CTS_015,
D,,RV_CTS_015,
O,,RV_CTS_016,
D,,RV_CTS_016,
O,,RV_CTS_017,
D,,RV_CTS_017,
O,,RV_CTS_018,
D,,RV_CTS_018,
O,,RV_CTS_019,
D,,RV_CTS_019,
O,,RV_CTS_020,
D,,RV_CTS_020,
O,,RV_CTS_021,
D,,RV_CTS_021,
O,,RV_CTS_022,
D,,RV_CTS_022,
O,,RV_CTS_023,
D,,RV_CTS_023,
O,,RV_CTS_024,
D,,RV_CTS_024,
O,,RV_CTS_025,
D,,RV_CTS_025,
O,,RV_CTS_026,
D,,RV_CTS_026,
O,,RV_CTS_027,
D,,RV_CTS_027,
O,,RV_CTS_028,
D,,RV_CTS_028,
O,,RV_CTS_029,
D,,RV_CTS_029,
O,,RV_CTS_030,
D,,RV_CTS_030,
O,,RV_CTS_031,
D,,RV_CTS_031,
O,,RV_CTS_032,
D,,RV_CTS_032,
O,,RV_CTS_033,
D,,RV_CTS_033,
O,,RV_CTS_034,
D,,RV_CTS_034,
O,,RV_CTS_035,
D,,RV_CTS_035,
O,,RV_CTS_036,
D,,RV_CTS_036,
O,,RV_CTS_037,
D,,RV_CTS_037,
O,,RV_CTS_038,
D,,RV_CTS_038,
O,,RV_CTS_039,
D,,RV_CTS_039,
O,,RV_CTS_040,
D,,RV_CTS_040,
O,,RV_CTS_041,
D,,RV_CTS_041,
O,,RV_CTS_042,
D,,RV_CTS_042,
O,,RV_CTS_043,
D,,RV_CTS_043,
O,,RV_CTS_044,
D,,RV_CTS_044,
O,,RV_CTS_045,
D,,RV_CTS_045,
O,,RV_CTS_046,
D,,RV_CTS_046,
O,,RV_CTS_047,
D,,RV_CTS_047,
O,,RV_CTS_048,
D,,RV_CTS_048,
O,,RV_CTS_049,
