Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.007
B,,1_2,0.006
B,,2_1,0.006
B,,2_2,0.005
C,,0,0.003
C,,0,0.004
C,,0,0.004
C,,549.5825955,0.358
C,,549.5825955,0.362
C,,549.5825955,0.344
C,,1099.165191,0.716
C,,1099.165191,0.723
C,,1099.165191,0.704
C,,4396.660764,2.748
C,,4396.660764,2.728
C,,4396.660764,2.752
O,,IN-1133,0.348
D,,IN-1133,0.338
O,,IN-1134,0.188
D,,IN-1134,0.182
O,,IN-1135,0.274
D,,IN-1135,0.276
O,,IN-1136,0.281
D,,IN-1136,0.286
O,,IN-1137,0.326
D,,IN-1137,0.324
O,,IN-1138,0.339
D,,IN-1138,0.33
O,,IN-1139,0.306
D,,IN-1139,0.31
O,,IN-1140,0.326
D,,IN-1140,0.326
O,,IN-1141,0.333
D,,IN-1141,0.329
O,,IN-1142,0.387
D,,IN-1142,0.386
O,,IN-1143,0.26
D,,IN-1143,0.263
O,,IN-1144,0.322
D,,IN-1144,0.329
O,,IN-1145,0.183
D,,IN-1145,0.19
O,,IN-1146,0.248
D,,IN-1146,0.246
O,,IN-1147,0.29
D,,IN-1147,0.286
O,,IN-1148,0.336
D,,IN-1148,0.34
O,,IN-1149,0.503
D,,IN-1149,0.503
O,,IN-1150,0.563
D,,IN-1150,0.278
O,,IN-1151,0.246
D,,IN-1151,0.255
O,,IN-1152,0.601
D,,IN-1152,0.612
O,,IN-1153,0.244
D,,IN-1153,0.241
O,,IN-1154,0.221
D,,IN-1154,0.224
O,,IN-1155,0.331
D,,IN-1155,0.333
O,,IN-1156,0.291
D,,IN-1156,0.29
O,,IN-1157,0.477
D,,IN-1157,0.479
O,,IN-1158,0.113
D,,IN-1158,0.112
O,,IN-1159,0.349
D,,IN-1159,0.347
O,,IN-1160,0.403
D,,IN-1160,0.396
,,,
,,,
