Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.002
B,,1_2,0.002
B,,2_1,0.001
B,,2_2,0.001
C,,0,0
C,,0,0.007
C,,0,0.002
C,,1500,0.179
C,,1500,0.178
C,,1500,0.181
C,,3000,0.348
C,,3000,0.349
C,,3000,0.373
C,,4500,0.496
C,,4500,0.492
C,,4500,0.488
O,,IN-1161,0.073
D,,IN-1161,0.076
O,,IN-1162,0.065
D,,IN-1162,0.065
O,,IN-1163,0.053
D,,IN-1163,0.057
O,,IN-1164,0.045
D,,IN-1164,0.045
O,,IN-1165,0.044
D,,IN-1165,0.037
O,,IN-1166,0.042
D,,IN-1166,0.04
O,,IN-1167,0.048
D,,IN-1167,0.049
O,,IN-1168,0.051
D,,IN-1168,0.048
O,,IN-1169,0.048
D,,IN-1169,0.045
O,,IN-1170,0.038
D,,IN-1170,0.039
O,,IN-1171,0.06
D,,IN-1171,0.062
O,,IN-1172,0.043
D,,IN-1172,0.041
O,,IN-1173,0.031
D,,IN-1173,0.034
O,,IN-1174,0.042
D,,IN-1174,0.044
O,,IN-1175,0.052
D,,IN-1175,0.051
O,,IN-1176,0.05
D,,IN-1176,0.052
O,,IN-1177,0.035
D,,IN-1177,0.036
O,,IN-1178,0.042
D,,IN-1178,0.046
O,,IN-1179,0.057
D,,IN-1179,0.061
O,,IN-1180,0.051
D,,IN-1180,0.047
O,,IN-1181,0.048
D,,IN-1181,0.045
O,,IN-1182,0.052
D,,IN-1182,0.061
O,,IN-1183,0.045
D,,IN-1183,0.047
O,,IN-1184,0.044
D,,IN-1184,0.072
O,,IN-1185,0.051
D,,IN-1185,0.044
O,,IN-1186,0.051
D,,IN-1186,0.05
O,,IN-1187,0.06
D,,IN-1187,0.06
O,,IN-1188,0.048
D,,IN-1188,0.05
