Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.006
B,,1_2,0.008
B,,2_1,0
B,,2_2,0.006
C,,0,0.003
C,,0,0.005
C,,0,0.002
C,,549.5825955,0.359
C,,549.5825955,0.356
C,,549.5825955,0.36
C,,1099.165191,0.718
C,,1099.165191,0.728
C,,1099.165191,0.73
C,,4396.660764,2.748
C,,4396.660764,2.767
C,,4396.660764,2.739
O,,IN-1150,0.307
D,,IN-1150,0.301
O,,IN-1163,0.131
D,,IN-1163,0.129
O,,IN-1189,0.096
D,,IN-1189,0.096
O,,IN-1207,2.523
D,,IN-1207,2.566
O,,IN-1215,2.767
D,,IN-1215,2.664
O,,IN-1218,2.394
D,,IN-1218,2.453
O,,IN-1231,2.976
D,,IN-1231,2.963
O,,IN-1272,0.219
D,,IN-1272,0.203
