Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0
B,,1_2,0
B,,2_1,0.001
B,,2_2,0.001
C,,0,0.001
C,,0,0.003
C,,0,0.001
C,,1500,0.175
C,,1500,0.173
C,,1500,0.182
C,,3000,0.347
C,,3000,0.348
C,,3000,0.345
C,,4500,0.503
C,,4500,0.573
C,,4500,0.516
O,,IN-1272,0.05
D,,IN-1272,0.052
O,,IN-1272,0.045
D,,IN-1272,0.048
O,,IN-1282,0.051
D,,IN-1282,0.053
O,,IN-1282,0.051
D,,IN-1282,0.05
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
O,,,
D,,,
