Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.011
B,,1_2,0.013
B,,2_1,0.014
B,,2_2,0.017
C,,0,0.013
C,,0,0.011
C,,0,0.011
C,,549.5825955,0.346
C,,549.5825955,0.345
C,,549.5825955,0.345
C,,1099.165191,0.674
C,,1099.165191,0.664
C,,1099.165191,0.674
C,,4396.660764,2.626
C,,4396.660764,2.6
C,,4396.660764,2.585
O,,I-0713,0.082
D,,I-0713,0.076
O,,I-0714,0.076
D,,I-0714,0.077
O,,I-0715,0.075
D,,I-0715,0.073
O,,I-0716,0.064
D,,I-0716,0.071
O,,I-0717,0.071
D,,I-0717,0.063
O,,I-0718,0.073
D,,I-0718,0.065
O,,I-0719,0.067
D,,I-0719,0.067
O,,I-0720,0.098
D,,I-0720,0.1
O,,I-0721,0.077
D,,I-0721,0.073
O,,I-0722,0.155
D,,I-0722,0.161
O,,I-0723,0.778
D,,I-0723,0.793
O,,I-0724,0.116
D,,I-0724,0.107
O,,I-0725,0.052
D,,I-0725,0.051
O,,I-0726,0.033
D,,I-0726,0.074
O,,I-0727,0.071
D,,I-0727,0.071
O,,I-0728,0.067
D,,I-0728,0.068
O,,I-0729,0.051
D,,I-0729,0.065
O,,I-0730,0.036
D,,I-0730,0.07
O,,I-0731,0.07
D,,I-0731,0.077
O,,I-0732,0.075
D,,I-0732,0.069
O,,I-0733,0.078
D,,I-0733,0.073
O,,I-0734,0.067
D,,I-0734,0.065
O,,I-0735,0.106
D,,I-0735,0.109
O,,I-0736,0.063
D,,I-0736,0.069
