Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.006
B,,1_2,0.007
B,,2_1,0.008
B,,2_2,0.004
C,,0,0.002
C,,0,0.008
C,,0,0.007
C,,1500,0.202
C,,1500,0.179
C,,1500,0.199
C,,3000,0.365
C,,3000,0.351
C,,3000,0.348
C,,4500,0.511
C,,4500,0.516
C,,4500,0.514
O,,I-0713,0.041
D,,I-0713,0.036
O,,I-0714,0.038
D,,I-0714,0.038
O,,I-0715,0.036
D,,I-0715,0.045
O,,I-0716,0.05
D,,I-0716,0.031
O,,I-0717,0.027
D,,I-0717,0.024
O,,I-0718,0.036
D,,I-0718,0.031
O,,I-0719,0.034
D,,I-0719,0.034
O,,I-0720,0.038
D,,I-0720,0.037
O,,I-0721,0.027
D,,I-0721,0.065
O,,I-0722,0.067
D,,I-0722,0.032
O,,I-0723,0.052
D,,I-0723,0.049
O,,I-0724,0.038
D,,I-0724,0.038
O,,I-0725,0.046
D,,I-0725,0.043
O,,I-0726,0.033
D,,I-0726,0.032
O,,I-0727,0.039
D,,I-0727,0.056
O,,I-0728,0.045
D,,I-0728,0.03
O,,I-0729,0.028
D,,I-0729,0.029
O,,I-0730,0.035
D,,I-0730,0.04
O,,I-0731,0.037
D,,I-0731,0.04
O,,I-0732,0.053
D,,I-0732,0.05
O,,I-0733,0.044
D,,I-0733,0.044
O,,I-0734,0.03
D,,I-0734,0.03
O,,I-0735,0.032
D,,I-0735,0.004
O,,I-0736,0.037
D,,I-0736,0.031
