Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.045
B,,1_2,0.043
B,,2_1,0.045
B,,2_2,0.044
C,,0,0.043
C,,0,0.043
C,,0,0.042
C,,549.5825955,0.317
C,,549.5825955,0.318
C,,549.5825955,0.319
C,,1099.165191,0.579
C,,1099.165191,0.574
C,,1099.165191,0.577
C,,4396.660764,2.226
C,,4396.660764,2.23
C,,4396.660764,2.293
O,,I-0713,0.091
D,,I-0713,0.076
O,,I-0714,0.073
D,,I-0714,0.076
O,,I-0715,0.07
D,,I-0715,0.07
O,,I-0716,0.09
D,,I-0716,0.091
O,,I-0717,0.093
D,,I-0717,0.089
O,,I-0718,0.091
D,,I-0718,0.089
O,,I-0719,0.091
D,,I-0719,0.099
O,,I-0720,0.123
D,,I-0720,0.127
O,,I-0721,0.099
D,,I-0721,0.099
O,,I-0722,0.165
D,,I-0722,0.169
O,,I-0723,0.692
D,,I-0723,0.683
O,,I-0724,0.134
D,,I-0724,0.125
O,,I-0725,0.114
D,,I-0725,0.102
O,,I-0726,0.092
D,,I-0726,0.098
O,,I-0727,0.099
D,,I-0727,0.101
O,,I-0728,0.092
D,,I-0728,0.092
O,,I-0729,0.09
D,,I-0729,0.089
O,,I-0730,0.096
D,,I-0730,0.095
O,,I-0731,0.098
D,,I-0731,0.1
O,,I-0732,0.091
D,,I-0732,0.092
O,,I-0733,0.094
D,,I-0733,0.097
O,,I-0734,0.087
D,,I-0734,0.088
O,,I-0735,0.122
D,,I-0735,0.124
O,,I-0736,0.091
D,,I-0736,0.087
