Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.003
B,,1_2,0.003
B,,2_1,0.001
B,,2_2,0.001
C,,0,0.001
C,,0,0.001
C,,0,0.004
C,,1500,0.171
C,,1500,0.167
C,,1500,0.164
C,,3000,0.328
C,,3000,0.328
C,,3000,0.332
C,,4500,0.482
C,,4500,0.494
C,,4500,0.487
O,,I-0713,0.027
D,,I-0713,0.027
O,,I-0714,0.027
D,,I-0714,0.03
O,,I-0715,0.025
D,,I-0715,0.023
O,,I-0716,0.022
D,,I-0716,0.022
O,,I-0717,0.019
D,,I-0717,0.02
O,,I-0718,0.023
D,,I-0718,0.023
O,,I-0719,0.024
D,,I-0719,0.024
O,,I-0720,0.028
D,,I-0720,0.024
O,,I-0721,0.022
D,,I-0721,0.024
O,,I-0722,0.022
D,,I-0722,0.021
O,,I-0723,0.039
D,,I-0723,0.04
O,,I-0724,0.029
D,,I-0724,0.028
O,,I-0725,0.027
D,,I-0725,0.026
O,,I-0726,0.018
D,,I-0726,0.026
O,,I-0727,0.027
D,,I-0727,0.026
O,,I-0728,0.021
D,,I-0728,0.018
O,,I-0729,0.017
D,,I-0729,0.017
O,,I-0730,0.026
D,,I-0730,0.026
O,,I-0731,0.021
D,,I-0731,0.021
O,,I-0732,0.02
D,,I-0732,0.02
O,,I-0733,0.022
D,,I-0733,0.022
O,,I-0734,0.018
D,,I-0734,0.014
O,,I-0735,0.021
D,,I-0735,0.02
O,,I-0736,0.022
D,,I-0736,0.018
O,,I-0709,0.332
D,,I-0709,0.335
O,,I-0712,0.276
D,,I-0712,0.274
