Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.005
B,,1_2,0.002
B,,2_1,0.003
B,,2_2,0.002
C,,0,0.001
C,,0,0.003
C,,0,0.002
C,,1500,0.18
C,,1500,0.169
C,,1500,0.171
C,,3000,0.327
C,,3000,0.339
C,,3000,0.336
C,,4500,0.462
C,,4500,0.475
C,,4500,0.482
O,,MN-0953,0.324
D,,MN-0953,0.319
O,,MN-0954,0.441
D,,MN-0954,0.451
O,,MN-0955,0.222
D,,MN-0955,0.223
O,,MN-0956,0.51
D,,MN-0956,0.49
O,,MN-0957,0.358
D,,MN-0957,0.353
O,,MN-0958,0.357
D,,MN-0958,0.347
O,,MN-0959,0.446
D,,MN-0959,0.45
O,,MN-0960,0.389
D,,MN-0960,0.378
O,,MN-0961,0.294
D,,MN-0961,0.297
O,,MN-0962,0.433
D,,MN-0962,0.432
O,,MN-0963,0.334
D,,MN-0963,0.348
O,,MN-0964,0.346
D,,MN-0964,0.349
O,,MN-0965,0.481
D,,MN-0965,0.476
O,,MN-0966,0.32
D,,MN-0966,0.318
O,,MN-0967,0.191
D,,MN-0967,0.19
O,,MN-0968,0.286
D,,MN-0968,0.289
O,,MN-0969,0.264
D,,MN-0969,0.265
O,,MN-0970,0.332
D,,MN-0970,0.326
O,,MN-0971,0.327
D,,MN-0971,0.333
O,,MN-0972,0.676
D,,MN-0972,0.67
O,,MN-0973,0.33
D,,MN-0973,0.327
O,,MN-0974,0.377
D,,MN-0974,0.372
O,,MN-0975,0.479
D,,MN-0975,0.479
O,,MN-0976,0.589
D,,MN-0976,0.585
O,,MN-0977,0.243
D,,MN-0977,0.229
O,,MN-0978,0.446
D,,MN-0978,0.456
O,,MN-0979,0.389
D,,MN-0979,0.396
O,,MN-0980,0.363
D,,MN-0980,0.373
