Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.013
B,,1_2,0.011
B,,2_1,0.011
B,,2_2,0.012
C,,0,0.008
C,,0,0.01
C,,0,0.01
C,,549.5825955,0.344
C,,549.5825955,0.346
C,,549.5825955,0.349
C,,1099.165191,0.668
C,,1099.165191,0.672
C,,1099.165191,0.666
C,,4396.660764,2.576
C,,4396.660764,2.567
C,,4396.660764,2.643
O,,MN-1009,0.267
D,,MN-1009,0.265
O,,MN-1010,0.352
D,,MN-1010,0.376
O,,MN-1011,0.636
D,,MN-1011,0.62
O,,MN-1012,0.414
D,,MN-1012,0.423
O,,MN-1013,0.145
D,,MN-1013,0.14
O,,MN-1014,0.143
D,,MN-1014,0.14
O,,MN-1015,0.324
D,,MN-1015,0.338
O,,MN-1016,0.489
D,,MN-1016,0.484
O,,MN-1017,0.971
D,,MN-1017,0.963
O,,MN-1018,0.265
D,,MN-1018,0.253
O,,MN-1019,0.351
D,,MN-1019,0.365
O,,MN-1020,0.265
D,,MN-1020,0.263
O,,MN-1021,0.247
D,,MN-1021,0.197
O,,MN-1022,0.2
D,,MN-1022,0.188
O,,MN-1023,0.265
D,,MN-1023,0.276
O,,MN-1024,0.323
D,,MN-1024,0.332
O,,MN-1025,0.445
D,,MN-1025,0.453
O,,MN-1026,0.502
D,,MN-1026,0.499
O,,MN-1027,0.202
D,,MN-1027,0.206
O,,MN-1028,0.281
D,,MN-1028,0.275
O,,MN-1029,0.205
D,,MN-1029,0.212
O,,MN-1030,0.311
D,,MN-1030,0.318
O,,MN-1031,0.151
D,,MN-1031,0.15
O,,MN-1032,0.429
D,,MN-1032,0.43
O,,MN-1033,0.382
D,,MN-1033,0.392
O,,MN-1034,0.398
D,,MN-1034,0.408
O,,MN-1035,0.762
D,,MN-1035,0.757
O,,MN-1036,0.434
D,,MN-1036,0.436
