Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0.011
B,,1_2,0.011
B,,2_1,0.012
B,,2_2,0.012
C,,0,0.008
C,,0,0.009
C,,0,0.008
C,,549.5825955,0.375
C,,549.5825955,0.378
C,,549.5825955,0.367
C,,1099.165191,0.679
C,,1099.165191,0.685
C,,1099.165191,0.729
C,,4396.660764,2.707
C,,4396.660764,2.687
C,,4396.660764,2.56
O,,MN-0981,0.931
D,,MN-0981,0.914
O,,MN-0982,0.699
D,,MN-0982,0.713
O,,MN-0983,1.118
D,,MN-0983,1.084
O,,MN-0984,0.71
D,,MN-0984,0.71
O,,MN-0985,1.268
D,,MN-0985,1.247
O,,MN-0986,0.837
D,,MN-0986,0.854
O,,MN-0987,0.919
D,,MN-0987,0.941
O,,MN-0988,0.63
D,,MN-0988,0.629
O,,MN-0989,0.632
D,,MN-0989,0.64
O,,MN-0990,0.514
D,,MN-0990,0.522
O,,MN-0991,0.791
D,,MN-0991,0.793
O,,MN-0992,0.575
D,,MN-0992,0.582
O,,MN-0993,0.683
D,,MN-0993,0.012
O,,MN-0994,0.841
D,,MN-0994,0.844
O,,MN-0995,1.044
D,,MN-0995,1.057
O,,MN-0996,1.051
D,,MN-0996,1.061
O,,MN-0997,1.535
D,,MN-0997,1.498
O,,MN-0998,1.202
D,,MN-0998,1.16
O,,MN-0999,0.866
D,,MN-0999,0.879
O,,MN-1000,0.988
D,,MN-1000,0.98
O,,MN-1001,0.402
D,,MN-1001,0.393
O,,MN-1002,0.314
D,,MN-1002,0.306
O,,MN-1003,0.29
D,,MN-1003,0.291
O,,MN-1004,0.135
D,,MN-1004,0.134
O,,MN-1005,0.672
D,,MN-1005,0.682
O,,MN-1006,0.207
D,,MN-1006,0.206
O,,MN-1007,0.384
D,,MN-1007,0.396
O,,MN-1008,0.193
D,,MN-1008,0.196
