Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,1500.0,
C,,1500.0,
C,,1500.0,
C,,3000.0,
C,,3000.0,
C,,3000.0,
C,,4500.0,
C,,4500.0,
C,,4500.0,
O,,SD_496,
D,,SD_496,
O,,SD_497,
D,,SD_497,
O,,SD_498,
D,,SD_498,
O,,SD_499,
D,,SD_499,
O,,SD_500,
D,,SD_500,
O,,SD_501,
D,,SD_501,
O,,SD_502,
D,,SD_502,
O,,SD_503,
D,,SD_503,
O,,SD_504,
D,,SD_504,
O,,SD_505,
D,,SD_505,
O,,SD_506,
D,,SD_506,
O,,SD_507,
D,,SD_507,
O,,SD_508,
D,,SD_508,
O,,SD_509,
D,,SD_509,
O,,SD_510,
D,,SD_510,
O,,SD_511,
D,,SD_511,
O,,SD_512,
D,,SD_512,
O,,SD_513,
D,,SD_513,
O,,SD_514,
D,,SD_514,
O,,SD_515,
D,,SD_515,
O,,SD_516,
D,,SD_516,
O,,SD_517,
D,,SD_517,
O,,SD_518,
D,,SD_518,
O,,SD_519,
D,,SD_519,
O,,SD_520,
D,,SD_520,
O,,SD_521,
D,,SD_521,
O,,SD_522,
D,,SD_522,
O,,SD_523,
D,,SD_523,
