Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,
B,,1_2,
B,,2_1,
B,,2_2,
C,,0.0,
C,,0.0,
C,,0.0,
C,,549.5825955,
C,,549.5825955,
C,,549.5825955,
C,,1099.165191,
C,,1099.165191,
C,,1099.165191,
C,,4396.660764,
C,,4396.660764,
C,,4396.660764,
O,,SD_524,
D,,SD_524,
O,,SD_525,
D,,SD_525,
O,,SD_526,
D,,SD_526,
O,,SD_527,
D,,SD_527,
O,,SD_528,
D,,SD_528,
O,,SD_529,
D,,SD_529,
O,,SD_530,
D,,SD_530,
O,,SD_531,
D,,SD_531,
O,,SD_532,
D,,SD_532,
O,,SD_533,
D,,SD_533,
O,,SD_534,
D,,SD_534,
O,,SD_535,
D,,SD_535,
O,,SD_536,
D,,SD_536,
O,,SD_537,
D,,SD_537,
O,,SD_538,
D,,SD_538,
O,,SD_539,
D,,SD_539,
O,,SD_540,
D,,SD_540,
O,,SD_541,
D,,SD_541,
O,,SD_542,
D,,SD_542,
O,,SD_543,
D,,SD_543,
O,,SD_544,
D,,SD_544,
O,,SD_545,
D,,SD_545,
O,,SD_546,
D,,SD_546,
O,,SD_547,
D,,SD_547,
O,,SD_548,
D,,SD_548,
O,,SD_549,
D,,SD_549,
O,,SD_550,
D,,SD_550,
O,,SD_551,
D,,SD_551,
