Type,Sample_Wt(g),Sample_ID,Absorbance
B,,1_1,0
B,,1_2,0
B,,2_1,0
B,,2_2,0
C,,0,10
C,,0,0
C,,0,2
C,,1500,1200
C,,1500,1500
C,,1500,1300
C,,3000,1500
C,,3000,200
C,,3000,300
C,,4500,450
C,,4500,5000
C,,4500,3000
O,,RV_CTS_001,10
D,,RV_CTS_001,30
O,,RV_CTS_002,50
D,,RV_CTS_002,70
O,,RV_CTS_003,90
D,,RV_CTS_003,110
O,,RV_CTS_004,130
D,,RV_CTS_004,150
O,,RV_CTS_005,170
D,,RV_CTS_005,190
O,,RV_CTS_006,210
D,,RV_CTS_006,230
O,,RV_CTS_007,250
D,,RV_CTS_007,270
O,,RV_CTS_008,290
D,,RV_CTS_008,310
O,,RV_CTS_009,330
D,,RV_CTS_009,350
O,,RV_CTS_010,370
D,,RV_CTS_010,390
O,,RV_CTS_011,410
D,,RV_CTS_011,430
O,,RV_CTS_012,450
D,,RV_CTS_012,470
O,,RV_CTS_013,490
D,,RV_CTS_013,510
O,,RV_CTS_014,530
D,,RV_CTS_014,550
O,,RV_CTS_015,570
D,,RV_CTS_015,590
O,,RV_CTS_016,610
D,,RV_CTS_016,630
O,,RV_CTS_017,650
D,,RV_CTS_017,670
O,,RV_CTS_018,690
D,,RV_CTS_018,710
O,,RV_CTS_019,730
D,,RV_CTS_019,750
O,,RV_CTS_020,770
D,,RV_CTS_020,790
O,,RV_CTS_021,810
D,,RV_CTS_021,830
O,,RV_CTS_022,850
D,,RV_CTS_022,870
O,,RV_CTS_023,890
D,,RV_CTS_023,910
O,,RV_CTS_024,930
D,,RV_CTS_024,950
O,,RV_CTS_025,970
D,,RV_CTS_025,990
O,,RV_CTS_026,1010
D,,RV_CTS_026,1030
O,,RV_CTS_027,1050
D,,RV_CTS_027,1070
O,,RV_CTS_028,1090
D,,RV_CTS_028,1110
O,,RV_CTS_029,1130
D,,RV_CTS_029,1150
O,,RV_CTS_030,1170
D,,RV_CTS_030,1190
O,,RV_CTS_031,1210
D,,RV_CTS_031,1230
O,,RV_CTS_032,1250
D,,RV_CTS_032,1270
O,,RV_CTS_033,1290
D,,RV_CTS_033,1310
O,,RV_CTS_034,1330
D,,RV_CTS_034,1350
O,,RV_CTS_035,1370
D,,RV_CTS_035,1390
O,,RV_CTS_036,1410
D,,RV_CTS_036,1430
O,,RV_CTS_037,1450
D,,RV_CTS_037,1470
O,,RV_CTS_038,1490
D,,RV_CTS_038,1510
O,,RV_CTS_039,1530
D,,RV_CTS_039,1550
O,,RV_CTS_040,1570
D,,RV_CTS_040,1590
O,,RV_CTS_041,1610
D,,RV_CTS_041,1630
O,,RV_CTS_042,1650
D,,RV_CTS_042,1670
O,,RV_CTS_043,1690
D,,RV_CTS_043,1710
O,,RV_CTS_044,1730
D,,RV_CTS_044,1750
O,,RV_CTS_045,1770
