Sample_ID,A_1_NIT_LMR_IA_USB_03_05_19.csv,A_2_NIT_LMR_IA_USB_03_01_19.csv,B_1_NIT_LMR_IA_USB_03_01_19.csv,C_1_NIT_LMR_IA_USB_00_00_00.csv,D_1_NIT_LMR_IA_USB_03_05_19.csv,E_1_NIT_LMR_IA_USB_03_06_19.csv,F_1_NIT_LMR_IA_USB_03_06_19.csv
I-0689,,25.856415271414573,,,,,
I-0690,,38.60927530291848,,,,,
I-0691,,29.947859369493386,,,,,
I-0692,,23.050853604160537,,,,,
I-0693,,46.78122937301761,,,,,
I-0694,,22.46636159014928,,,,,
I-0695,,23.167752006962786,,,,,
I-0696,,23.869142423776292,,,,,
I-0697,,52.97684472153695,,,,,
I-0698,,31.584437008724912,,,,,
I-0699,,26.09021207701908,,,,,
I-0700,,23.40154881256729,,,,,
I-0701,,68.87502750264318,,,,,
I-0702,,79.39588375484581,,,,,
I-0703,,66.06946583538914,,,,,
I-0704,,56.60069520840676,,,,,
I-0705,,86.05909271457418,,,,,
I-0706,,61.276631320496826,,,,,
I-0707,,53.67823513835045,,,,,
I-0708,,48.7685022206559,,,,,
I-0709,75.9112377192817,x_50.75577506829417,,77.8899000173428,75.9112377192817,,
I-0710,,41.87149645532305,,,,,
I-0711,,31.935132217131656,,,,,
I-0712,62.366400742897255,x_58.12037444483603,,65.29871264070384,62.366400742897255,,
I-0713,4.9455533900195725,,x_4.201586717709591,x_5.230662770499601,4.9455533900195725,,
I-0714,5.2928569022345595,,4.090648714265988,5.923755653617339,5.2928569022345595,6.303143023849293,
I-0715,4.2509463655896,,x_4.645338731484005,x_6.963394978293953,4.2509463655896,,
I-0716,3.7878750159696204,,x_4.645338731484005,5.346178251019223,3.7878750159696204,,
I-0717,3.209035828944643,,x_1.3171986281759138,x_69.4572699394103,3.209035828944643,4.392914523074125,
I-0718,4.019410690779609,,x_3.092206683273562,x_5.92375565361734,4.019410690779609,7.763905995030304,
I-0719,4.2509463655896,,3.2031446867171653,4.8841163289407294,4.2509463655896,6.86497493584199,
I-0720,x_4.7140177152095815,,3.979710710822387,5.692724692578094,x_4.7140177152095815,,
I-0721,4.019410690779609,,x_5.865656769363637,x_5.92375565361734,4.019410690779609,7.314440465436148,
I-0722,3.6721071785646244,,x_6.642222793468859,4.999631809460352,3.6721071785646244,,
I-0723,7.839749325144455,,6.864098800356065,x_10.659890354921904,7.839749325144455,,
I-0724,5.292856902234557,,4.090648714265988,x_7.309941419852822,5.292856902234557,6.86497493584199,
I-0725,4.829785552614577,,5.532842759032827,6.847879497774327,4.829785552614577,,
I-0726,x_3.7878750159696204,,2.870330676386356,x_4.653085367901481,x_3.7878750159696204,4.505280905472665,
I-0727,4.829785552614577,,x_6.198470779694446,5.923755653617339,4.829785552614577,,
I-0728,x_3.209035828944643,,x_3.9797107108223857,x_5.808240173097717,x_3.209035828944643,,
I-0729,2.630196641919666,,1.9828266488375312,x_7.078910458813574,2.630196641919666,,
I-0730,4.7140177152095815,,x_3.979710710822387,x_73.61582723811674,4.7140177152095815,,
I-0731,3.5563393411596294,,4.201586717709593,3.6134460432248687,3.5563393411596294,,
I-0732,3.3248036663496388,,7.085974807243271,3.6134460432248687,3.3248036663496388,x_5.1794791998639,4.87433938278957
I-0733,3.7878750159696204,,5.421904755589226,x_4.8841163289407294,3.7878750159696204,5.516578347059517,
I-0734,x_2.398660967109676,,2.31564065916834,x_2.573806718548256,x_2.398660967109676,,
I-0735,3.440571503754634,,x_-0.34687142347813166,3.6134460432248687,3.440571503754634,5.291845582262439,4.534103219761685
I-0736,x_3.3248036663496388,,x_3.2031446867171653,x_4.191023445822987,x_3.3248036663496388,,8.61693717609629
