Sample_ID,A_10_NIT_LMR_IN_USB_00_00_00.csv,A_1_NIT_LMR_IN_USB_03_19_19.csv,A_2_NIT_LMR_IN_USB_03_14_19.csv,A_3_NIT_LMR_IN_USB_00_00_00.csv,A_4_NIT_LMR_IN_USB_00_00_00.csv,A_5_NIT_LMR_IN_USB_03_21_19.csv,A_6_NIT_LMR_IN_USB_03_22_19.csv,A_7_NIT_LMR_IN_USB_03_22_19.csv,A_8_NIT_LMR_IN_USB_03_28_19.csv,A_9_NIT_LMR_IN_USB_03_29_19.csv,B_1_NIT_LMR_IN_USB_04_02_19.csv,B_2_NIT_LMR_IN_USB_04_02_19.csv,C_1_NIT_LMR_IN_USB_04_02_19.csv
IN-1049,,11.294364173818797,,,,,,,,,,,
IN-1050,,26.179340584494184,,,,,,,,,,,
IN-1051,,38.58348759339034,,,,,,,,,,,
IN-1052,,55.83652843303681,,,,,,,,,,,
IN-1053,,23.58574620990681,,,,,,,,,,,
IN-1054,,x_-1.2225478078855005,,,,,,,,,x_21.928515689682133,21.380485716653002,
IN-1055,,14.113488494022473,,,,,,,,,,,
IN-1056,,25.051690856412716,,,,,,,,,,,
IN-1057,,39.14731245743107,,,,,,,,,,,
IN-1058,,34.07288868106447,,,,,,,,,,,
IN-1059,,23.472981237098658,,,,,,,,,,,
IN-1060,,18.173027515115756,,,,,,,,,,,
IN-1061,,32.7197090073667,,,,,,,,,,,
IN-1062,,42.643026614483624,,,,,,,,,,,
IN-1063,,29.449524795930444,,,,,,,,,,,
IN-1064,,x_11.970954010667679,,,,,,,,,11.643129951144335,,
IN-1065,,16.5943178958017,,,,,,,,,,,
IN-1066,,26.74316544853492,,,,,,,,,,,
IN-1067,,19.977267080046108,,,,,,,,,,,
IN-1068,,43.770676342565096,,,,,,,,,,,
IN-1069,,32.60694403455855,,,,,,,,,,,
IN-1070,,28.660169986273416,,,,,,,,,,,
IN-1071,,23.585746209906805,,,,,,,,,,,
IN-1072,,40.387727158320686,,,,,,,,,,,
IN-1073,,43.09408650571622,,,,,,,,,,,
IN-1074,,17.38367270545873,,,,,,,,,,,
IN-1075,,23.924041128331247,,,,,,,,,,,
IN-1076,,22.458096481825336,,,,,,,,,,,
IN-1077,,,29.494994373981182,,,,,,,,,,
IN-1078,,,28.197543697039784,,,,,,,,,,
IN-1079,,,17.58203815842834,,,,,,,,,,
IN-1080,,,18.053838404588852,,,,,,,,,,
IN-1081,,,22.535940743113677,,,,,,,,,,
IN-1082,,,49.54650483580277,,,,,,,,,,
IN-1083,,,28.78729400474042,,,,,,,,,,
IN-1084,,,37.39764849716969,,,,,,,,,,
IN-1085,,,24.776991912376094,,,,,,,,,,
IN-1086,,,27.961643573959527,,,,,,,,,,
IN-1087,,,38.459199051030836,,,,,,,,,,
IN-1088,,,33.741196589425755,,,,,,,,,,
IN-1089,,,19.587189204610503,,,,,,,,,,
IN-1090,,,24.423141727755713,,,,,,,,,,
IN-1091,,,24.894941973916218,,,,,,,,,,
IN-1092,,,32.2078457894041,,,,,,,,,,
IN-1093,,,x_33.74119658942574,,,,,,,,36.416532160095585,,
IN-1094,,,39.75664972797223,,,,,,,,,,
IN-1095,,,33.5052964663455,,,,,,,,,,
IN-1096,,,x_31.73604554324359,,,,,,,,27.347697422890217,,
IN-1097,,,41.52590065107414,,,,,,,,,,
IN-1098,,,31.146295235542958,,,,,,,,,,
IN-1099,,,31.500145420163335,,,,,,,,,,
IN-1100,,,52.73115649738621,,,,,,,,,,
IN-1101,,,33.977096712506,,,,,,,,,,
IN-1102,,,28.669343943200282,,,,,,,,,,
IN-1103,,,52.84910655892634,,,,,,,,,,
IN-1104,,,45.18235255881808,,,,,,,,,,
IN-1105,,,,28.906084766646824,,,,,,,,,
IN-1106,,,,x_40.80157122135755,,,,,,,41.503927256576645,,
IN-1107,,,,70.59917590493984,,,,,,,,,
IN-1108,,,,33.02828304303172,,,,,,,,,
IN-1109,,,,60.470345854394076,,,,,,,,,
IN-1110,,,,21.72168205637599,,,,,,,,,
IN-1111,,,,23.01723008609696,,,,,,,,,
IN-1112,,,,29.61274732831281,,,,,,,,,
IN-1113,,,,35.14827072802967,,,,,,,,,
IN-1114,,,,26.786097081648876,,,,,,,,,
IN-1115,,,,30.437186983589783,,,,,,,,,
IN-1116,,,,54.58149117384422,,,,,,,,,
IN-1117,,,,31.261626638866765,,,,,,,,,
IN-1118,,,,13.123954222773193,,,,,,,,,
IN-1119,,,,19.60169437137804,,,,,,,,,
IN-1120,,,,58.70368945022913,,,,,,,,,
IN-1121,,,,30.31940988997879,,,,,,,,,
IN-1122,,,,25.019440677483914,,,,,,,,,
IN-1123,,,,24.66610939665092,,,,,,,,,
IN-1124,,,,25.7261032391499,,,,,,,,,
IN-1125,,,,26.550542894426876,,,,,,,,,
IN-1126,,,,18.659477622490066,,,,,,,,,
IN-1127,,,,17.48170668638009,,,,,,,,,
IN-1128,,,,62.82588772661403,,,,,,,,,
IN-1129,,,,28.55275348581383,,,,,,,,,
IN-1130,,,,29.141638953868817,,,,,,,,,
IN-1131,,,,x_9.119533039999288,,,,,,,11.311343314417309,,
IN-1132,,,,10.061749788887266,,,,,,,,,
IN-1133,,,,,13.421985923925652,,,,,,,,
IN-1134,,,,,10.358790215173315,,,,,,,,
IN-1135,,,,,12.627824073508378,,,,,,,,
IN-1136,,,,,11.493307144340845,,,,,,,,
IN-1137,,,,,10.812596986840324,,,,,,,,
IN-1138,,,,,12.514372380591624,,,,,,,,
IN-1139,,,,,11.379855451424094,,,,,,10.868961132114611,,
IN-1140,,,,,12.968179152258639,,,,,,,,
IN-1141,,,,,16.712085018511495,,,,,,,,
IN-1142,,,,,13.98924438850942,,,,,,,,
IN-1143,,,,,11.039500372673832,,,,,,,,
IN-1144,,,,,11.493307144340845,,,,,,,,
IN-1145,,,,,9.9049834435063,,,,,,,,
IN-1146,,,,,11.720210530174352,,,,,,,,
IN-1147,,,,,13.421985923925652,,,,,,,,
IN-1148,,,,,13.195082538092146,,,,,,,,
IN-1149,,,,,x_15.0103096247602,,,,,,13.080872043628114,,
IN-1150,,,,,11.6067588372576,,,,,,,,
IN-1151,,,,,9.791531750589547,,,,,,,,
IN-1152,,,,,16.82553671142825,,,,,,,,
IN-1153,,,,,10.131886829339809,,,,,,,,
IN-1154,,,,,11.152952065590586,,,,,,,,
IN-1155,,,,,13.195082538092146,,,,,,,,
IN-1156,,,,,12.06056560892461,,,,,,,,
IN-1157,,,,,11.493307144340845,,,,,,,,
IN-1158,,,,,9.110821593089028,,,,,,,,
IN-1159,,,,,10.358790215173315,,,,,,,,
IN-1160,,,,,11.947113916007858,,,,,,,,
IN-1161,,,,,,14.323562155547574,,,,,,,
IN-1162,,,,,,12.167669546495896,,,,,,,
IN-1163,,,,,,9.898308905388863,,,,,,,
IN-1164,,,,,,7.62894826428183,,,,,,,
IN-1165,,,,,,x_6.607735975783667,,,,,6.0027571267849,,
IN-1166,,,,,,6.721204007839018,,,,,,,
IN-1167,,,,,,8.423224488669293,,,,,,,
IN-1168,,,,,,8.650160552779996,,,,,,,
IN-1169,,,,,,7.9693523604478855,,,,,,,
IN-1170,,,,,,6.153863847562259,,,,,,,
IN-1171,,,,,,11.259925290053081,,,,,,,
IN-1172,,,,,,6.948140071949719,,,,,,,
IN-1173,,,,,,4.79224746289804,,,,,,,
IN-1174,,,,,,7.175076136060424,,,,,,,
IN-1175,,,,,,9.104032681001403,,,,,,,
IN-1176,,,,,,8.990564648946052,,,,,,,
IN-1177,,,,,,5.47305565523015,,,,,,,
IN-1178,,,,,,7.402012200171126,,,,,,,
IN-1179,,,,,,10.806053161831676,,,,,,,
IN-1180,,,,,,8.536692520724644,,,,,,,
IN-1181,,,,,,7.9693523604478855,,,,,,,
IN-1182,,,,,,x_10.238713001554917,,,,,x_9.984196767509209,8.79344153632287,
IN-1183,,,,,,7.855884328392532,,,,,,,
IN-1184,,,,,,x_10.579117097720976,,,,,7.329903673693001,,
IN-1185,,,,,,x_8.196288424558588,,,,,7.661690310420028,,
IN-1186,,,,,,8.8770966168907,,,,,,,
IN-1187,,,,,,11.032989225942378,,,,,,,
IN-1188,,,,,,8.536692520724644,,,,,,,
IN-1189,,,,,,,7.30326866858349,,,,,,
IN-1190,,,,,,,10.45748840915809,,,,,,
IN-1191,,,,,,,10.45748840915809,,,,,,
