Sample_ID,A_10_URE_LMR_IN_USB_04_02_19.csv,A_1_URE_LMR_IN_USB_03_19_19.csv,A_2_URE_LMR_IN_USB_03_14_19.csv,A_3_URE_LMR_IN_USB_00_00_00.csv,A_4_URE_LMR_IN_USB_00_00_00.csv,A_5_URE_LMR_IN_USB_03_21_19.csv,A_6_URE_LMR_IN_USB_03_22_19.csv,A_7_URE_LMR_IN_USB_03_22_19.csv,A_8_URE_LMR_IN_USB_03_28_19.csv,A_9_URE_LMR_IN_USB_03_29_19.csv,B_1_URE_LMR_IN_USB_04_02_19.csv
IN-1049,,221.77677699407985,,,,,,,,,
IN-1050,,335.8633360630397,,,,,,,,,
IN-1051,,339.5996057050544,,,,,,,,,
IN-1052,,237.50386548721144,,,,,,,,,
IN-1053,,353.2413343979918,,,,,,,,,
IN-1054,,357.49894399005495,,,,,,,,,
IN-1055,,430.31275701350376,,,,,,,,,
IN-1056,,440.82644600614975,,,,,,,,,
IN-1057,,291.1149903505383,,,,,,,,,
IN-1058,,327.1743368955637,,,,,,,,,
IN-1059,,280.6013013578924,,,,,,,,,
IN-1060,,415.7152384121441,,,,,,,,,
IN-1061,,284.7720209582809,,,,,,,,,
IN-1062,,293.63480010910644,,,,,,,,,
IN-1063,,416.67102832056645,,,,,,,,,
IN-1064,,260.44282328934804,,,,,,,,,
IN-1065,,323.1773972785248,,,,,,,,,
IN-1066,,316.39997792789353,,,,,,,,,
IN-1067,,267.0464626566298,,,,,,,,,
IN-1068,,294.7643700008783,,,,,,,,,
IN-1069,,321.5264874367043,,,,,,,,,
IN-1070,,381.8281416589877,,,,,,,,,
IN-1071,,260.96416323939667,,,,,,,,,
IN-1072,,254.01296390541583,,,,,,,,,
IN-1073,,277.2994816742515,,,,,,,,,
IN-1074,,439.78376610605267,,,,,,,,,
IN-1075,,286.94427075014994,,,,,,,,,
IN-1076,,272.3467521487902,,,,,,,,,
IN-1077,,,230.4154278982299,,,,,,,,
IN-1078,,,317.4968747701755,,,,,,,,
IN-1079,,,442.704422739191,,,,,,,,
IN-1080,,,436.350072556346,,,,,,,,
IN-1081,,,342.6457818318577,,,,,,,,
IN-1082,,,183.5185335910361,,,,,,,,
IN-1083,,,347.7471615561135,,,,,,,,
IN-1084,,,438.4085240240282,,,,,,,,
IN-1085,,,437.69254090483435,,,,,,,,
IN-1086,,,240.2601957871446,,,,,,,,
IN-1087,,,247.24103119928412,,,,,,,,
IN-1088,,,401.44589549564836,,,,,,,,
IN-1089,,,354.99649063795067,,,,,,,,
IN-1090,,,322.77725027422974,,,,,,,,
IN-1091,,,263.3506513811446,,,,,,,,
IN-1092,,,279.3707736731059,,,,,,,,
IN-1093,,,250.91044468515238,,,,,,,,
IN-1094,,,347.38916999651656,,,,,,,,
IN-1095,,,196.3167318466253,,,,,,,,
IN-1096,,,235.51680762248571,,,,,,,,
IN-1097,,,282.9506892690748,,,,,,,,
IN-1098,,,228.9834616598423,,,,,,,,
IN-1099,,,298.97081156103593,,,,,,,,
IN-1100,,,487.0953761292064,,,,,,,,
IN-1101,,,450.58023705032275,,,,,,,,
IN-1102,,,338.61837678639256,,,,,,,,
IN-1103,,,343.0037733914545,,,,,,,,
IN-1104,,,385.87326265318336,,,,,,,,
IN-1105,,,,513.983679659382,,,,,,,
IN-1106,,,,410.23177019647744,,,,,,,
IN-1107,,,,377.47297803667044,,,,,,,
IN-1108,,,,529.2774097166981,,,,,,,
IN-1109,,,,475.56054303390226,,,,,,,
IN-1110,,,,559.770464090236,,,,,,,
IN-1111,,,,464.3262598436515,,,,,,,
IN-1112,,,,523.8018767332145,,,,,,,
IN-1113,,,,559.770464090236,,,,,,,
IN-1114,,,,559.770464090236,,,,,,,
IN-1115,,,,558.2599722327234,,,,,,,
IN-1116,,,,368.9764613381615,,,,,,,
IN-1117,,,,390.8785932720959,,,,,,,
IN-1118,,,,402.4904994267248,,,,,,,
IN-1119,,,,538.8123895672472,,,,,,,
IN-1120,,,,207.9202670308685,,,,,,,
IN-1121,,,,444.9730829192698,,,,,,,
IN-1122,,,,470.93466172026956,,,,,,,
IN-1123,,,,559.770464090236,,,,,,,
IN-1124,,,,480.94167027629135,,,,,,,
IN-1125,,,,507.4696835238583,,,,,,,
IN-1126,,,,559.770464090236,,,,,,,
IN-1127,,,,476.5990061859423,,,,,,,
IN-1128,,,,308.0847583321803,,,,,,,
IN-1129,,,,516.0606059634619,,,,,,,
IN-1130,,,,483.58503102693857,,,,,,,
IN-1131,,,,63.57388889730995,,,,,,,
IN-1132,,,,64.5179463082554,,,,,,,
IN-1133,,,,,51.87658301164144,,,,,,
IN-1134,,,,,26.451783781213486,,,,,,
IN-1135,,,,,40.9342643555079,,,,,,
IN-1136,,,,,42.3020541875246,,,,,,
IN-1137,,,,,48.98008689678257,,,,,,
IN-1138,,,,,50.50879317962476,,,,,,
IN-1139,,,,,46.24450723274918,,,,,,
IN-1140,,,,,49.14100334760807,,,,,,
IN-1141,,,,,49.94558560173552,,,,,,
IN-1142,,,,,58.87644862255043,,,,,,
IN-1143,,,,,38.76189226936374,,,,,,
IN-1144,,,,,49.06054512219532,,,,,,
IN-1145,,,,,26.693158457451727,,,,,,
IN-1146,,,,,36.42860373239408,,,,,,
IN-1147,,,,,43.02617821623932,,,,,,
IN-1148,,,,,51.07200075751399,,,,,,
IN-1149,,,,,77.6232151437204,,,,,,
IN-1150,,,,,x_64.34760795061719,,,,,,45.097415646395895
IN-1151,,,,,36.99181131028331,,,,,,
IN-1152,,,,,94.27806780415898,,,,,,
IN-1153,,,,,35.70447970367936,,,,,,
IN-1154,,,,,32.486150687169484,,,,,,
IN-1155,,,,,50.10650205256102,,,,,,
IN-1156,,,,,43.42846934330304,,,,,,
IN-1157,,,,,73.60030387308306,,,,,,
IN-1158,,,,,14.785341096365212,,,,,,
IN-1159,,,,,52.68116526576891,,,,,,
IN-1160,,,,,60.96836248328183,,,,,,
IN-1161,,,,,,53.16632071897275,,,,,
IN-1162,,,,,,53.16631158548499,,,,,
IN-1163,,,,,,x_53.1663077356137,,,,,17.16668239719375
IN-1164,,,,,,53.166308983503015,,,,,
IN-1165,,,,,,53.1663083197321,,,,,
IN-1166,,,,,,53.16630757630868,,,,,
IN-1167,,,,,,53.166307841817044,,,,,
IN-1168,,,,,,53.16630859851589,,,,,
IN-1169,,,,,,53.16630790819414,,,,,
IN-1170,,,,,,53.166307403728254,,,,,
IN-1171,,,,,,53.166309912782296,,,,,
IN-1172,,,,,,53.16630786836788,,,,,
IN-1173,,,,,,53.16630675323275,,,,,
IN-1174,,,,,,53.16630794802039,,,,,
IN-1175,,,,,,53.16630846576171,,,,,
IN-1176,,,,,,53.16630821352876,,,,,
IN-1177,,,,,,53.166307682512034,,,,,
IN-1178,,,,,,53.166309713651025,,,,,
IN-1179,,,,,,53.16630978002811,,,,,
IN-1180,,,,,,53.166308518863374,,,,,
IN-1181,,,,,,53.166307390452836,,,,,
IN-1182,,,,,,53.16630934193931,,,,,
IN-1183,,,,,,53.16630850558796,,,,,
IN-1184,,,,,,53.166307762164536,,,,,
IN-1185,,,,,,53.166307217872394,,,,,
IN-1186,,,,,,53.16630858524047,,,,,
